model,end2end,AP50-95,AP50,AP75,AP_S,AP_M,AP_L
yolo11n,False,0.3943,0.5527,0.4283,0.1998,0.4331,0.5711
yolo11s,False,0.469,0.6387,0.5055,0.2971,0.5161,0.6429
yolo11m,False,0.5149,0.6842,0.5571,0.3347,0.5706,0.6782
yolo11l,False,0.5331,0.7009,0.582,0.3561,0.5914,0.6927
yolo11x,False,0.5462,0.7163,0.5949,0.3765,0.5969,0.7032
yolo26n,False,0.4081,0.5688,0.443,0.2125,0.4483,0.589
yolo26s,False,0.4859,0.6578,0.5271,0.2942,0.5323,0.6592
yolo26m,False,0.5306,0.707,0.5768,0.3674,0.5772,0.6892
yolo26l,False,0.5505,0.726,0.6007,0.3846,0.5961,0.7109
yolo26x,False,0.5742,0.7498,0.6272,0.4172,0.6208,0.7322
