epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,797.426,2.25664,4.96939,0.01841,0.4041,0.25095,0.21065,0.11955,1.73717,2.50232,0.01757,0.00998986,0.00332995,0.00998986,0.00332995,0.00998986,0.00332995,0.00998986,0.00332995
2,1572.7,1.67848,3.33209,0.01144,0.39894,0.32449,0.29599,0.18231,1.62119,2.26579,0.01539,0.0193302,0.0064434,0.0193302,0.0064434,0.0193302,0.0064434,0.0193302,0.0064434
3,2350.61,1.61858,2.76495,0.01057,0.36634,0.27451,0.25059,0.15194,1.63878,2.46108,0.01529,0.0280105,0.00933684,0.0280105,0.00933684,0.0280105,0.00933684,0.0280105,0.00933684
4,3127.3,1.5916,2.45454,0.01026,0.47037,0.33368,0.33286,0.21273,1.54766,2.18626,0.01393,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,3908.67,1.54623,2.32013,0.00973,0.50732,0.36163,0.37434,0.24652,1.48736,2.05055,0.01308,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,4685.68,1.51954,2.25415,0.00946,0.53772,0.38187,0.40035,0.26764,1.45875,1.97201,0.01256,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,5464.63,1.49869,2.20797,0.00923,0.53217,0.40133,0.42078,0.28638,1.41857,1.89285,0.01205,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,6246.89,1.48594,2.17332,0.00907,0.54605,0.41858,0.44082,0.30465,1.39538,1.83661,0.01166,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,7029.21,1.47599,2.14936,0.00891,0.54989,0.42856,0.45126,0.31147,1.37943,1.80347,0.01146,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
10,7804.86,1.46439,2.12606,0.00885,0.55873,0.44264,0.46655,0.32506,1.36385,1.75423,0.01123,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
