epoch,size_bin,recall_at_05,median_iou,fp_above_tp_median,median_tp_conf,gt_count,tp_count,fp_count
0,0-8,0.2487,0.5942,0.0761,0.0204,2557,636,30422
0,8-16,0.5022,0.6429,0.0521,0.0388,5070,2546,109026
0,16-32,0.6634,0.7203,0.0357,0.0839,7487,4967,199594
0,32-64,0.7886,0.7664,0.0205,0.112,7834,6178,256849
0,64-128,0.8401,0.774,0.0153,0.1242,6678,5610,215356
0,128-9999,0.8887,0.7578,0.0112,0.1536,6709,5962,285560
1,0-8,0.3445,0.595,0.0839,0.0207,2557,881,54398
1,8-16,0.5558,0.6544,0.0362,0.0416,5070,2818,139981
1,16-32,0.6988,0.7351,0.025,0.1078,7487,5232,197640
1,32-64,0.8102,0.7792,0.0153,0.179,7834,6347,190349
1,64-128,0.8612,0.8101,0.0115,0.2134,6678,5751,166110
1,128-9999,0.914,0.8353,0.0053,0.3008,6709,6132,231458
2,0-8,0.3285,0.6082,0.0826,0.0364,2557,840,52698
2,8-16,0.532,0.6538,0.0523,0.05,5070,2697,183599
2,16-32,0.661,0.7282,0.0234,0.1168,7487,4949,266774
2,32-64,0.7835,0.7753,0.0162,0.1883,7834,6138,233614
2,64-128,0.8073,0.813,0.0123,0.2494,6678,5391,148902
2,128-9999,0.8822,0.8422,0.0057,0.2974,6709,5919,182197
3,0-8,0.3946,0.6165,0.0598,0.0338,2557,1009,87564
3,8-16,0.5949,0.666,0.0418,0.0481,5070,3016,178914
3,16-32,0.7168,0.7403,0.0226,0.1045,7487,5367,233755
3,32-64,0.8272,0.7911,0.0139,0.1937,7834,6480,201203
3,64-128,0.861,0.8328,0.0085,0.2959,6678,5750,138740
3,128-9999,0.9188,0.8642,0.0036,0.3738,6709,6164,153740
4,0-8,0.4157,0.6155,0.0665,0.0393,2557,1063,66711
4,8-16,0.6321,0.6779,0.042,0.0522,5070,3205,182480
4,16-32,0.7306,0.7472,0.0197,0.1225,7487,5470,210891
4,32-64,0.8489,0.7985,0.011,0.231,7834,6650,211718
4,64-128,0.8893,0.8484,0.0062,0.3259,6678,5939,158740
4,128-9999,0.9358,0.879,0.0029,0.4805,6709,6278,128688
5,0-8,0.4443,0.6219,0.0533,0.0342,2557,1136,82509
5,8-16,0.6485,0.6806,0.0363,0.0526,5070,3288,192955
5,16-32,0.7458,0.7447,0.0209,0.1041,7487,5584,184964
5,32-64,0.8489,0.8076,0.0109,0.2295,7834,6650,168243
5,64-128,0.8965,0.8582,0.0063,0.3667,6678,5987,131737
5,128-9999,0.9493,0.8912,0.0021,0.5601,6709,6369,141733
6,0-8,0.4509,0.6295,0.0505,0.0403,2557,1153,86178
6,8-16,0.6641,0.683,0.0343,0.0583,5070,3367,185386
6,16-32,0.7677,0.7532,0.019,0.118,7487,5748,211365
6,32-64,0.8744,0.8107,0.009,0.2524,7834,6850,208837
6,64-128,0.9106,0.8601,0.0049,0.4168,6678,6081,142137
6,128-9999,0.9541,0.8972,0.0018,0.5962,6709,6401,125262
7,0-8,0.4634,0.6269,0.0599,0.0319,2557,1185,73635
7,8-16,0.6659,0.6836,0.0329,0.0526,5070,3376,169554
7,16-32,0.7776,0.7602,0.0188,0.1234,7487,5822,193227
7,32-64,0.8801,0.8145,0.0088,0.2847,7834,6895,193803
7,64-128,0.9203,0.8668,0.0042,0.4697,6678,6146,148302
7,128-9999,0.9572,0.9054,0.0016,0.667,6709,6422,116901
8,0-8,0.4826,0.6283,0.0522,0.0342,2557,1234,84058
8,8-16,0.6998,0.686,0.0308,0.0566,5070,3548,196901
8,16-32,0.7924,0.7637,0.0156,0.1394,7487,5933,212110
8,32-64,0.8814,0.8211,0.0091,0.2861,7834,6905,176544
8,64-128,0.92,0.8687,0.0045,0.4746,6678,6144,125451
8,128-9999,0.9587,0.9079,0.0016,0.6792,6709,6432,115404
9,0-8,0.4924,0.6305,0.0563,0.0326,2557,1259,82344
9,8-16,0.7053,0.6909,0.0302,0.0605,5070,3576,183855
9,16-32,0.8034,0.7658,0.0165,0.1432,7487,6015,211736
9,32-64,0.8961,0.8211,0.008,0.3157,7834,7020,190450
9,64-128,0.9281,0.8707,0.0039,0.5,6678,6198,133590
