epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1040.17,2.04495,4.55568,0.01634,0.4218,0.34314,0.3022,0.18234,1.57748,2.10487,0.0157,0.00999349,0.00333116,0.00999349,0.00333116,0.00999349,0.00333116,0.00999349,0.00333116
2,2049.02,1.53987,2.91744,0.01033,0.47943,0.37685,0.37222,0.24098,1.46817,1.97733,0.01368,0.0186739,0.00622464,0.0186739,0.00622464,0.0186739,0.00622464,0.0186739,0.00622464
3,3054.24,1.50274,2.40558,0.00963,0.47483,0.36389,0.3657,0.2357,1.47033,2.03596,0.01341,0.0260344,0.00867812,0.0260344,0.00867812,0.0260344,0.00867812,0.0260344,0.00867812
4,4047.88,1.47895,2.17775,0.00927,0.53839,0.41862,0.43381,0.29418,1.37053,1.7984,0.01182,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
5,5048.11,1.42001,2.02216,0.0086,0.5833,0.45371,0.48249,0.33678,1.30981,1.66872,0.01094,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
6,6008.51,1.44428,1.97933,0.01065,0.57513,0.47572,0.49628,0.35081,1.29356,1.6346,0.01061,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
7,6962.25,1.41158,1.89171,0.01017,0.62379,0.48057,0.52293,0.37275,1.26724,1.56727,0.01018,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
8,7919.06,1.3828,1.81439,0.00974,0.62027,0.50631,0.54314,0.39122,1.24282,1.52567,0.00987,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
9,8872.05,1.35592,1.74274,0.00943,0.64441,0.51014,0.55735,0.4033,1.22688,1.4863,0.00965,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
10,9826.39,1.33288,1.67728,0.00912,0.65156,0.5121,0.56432,0.40994,1.21623,1.46645,0.00952,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
11,10771.3,1.31015,1.60864,0.00883,0.65517,0.52431,0.57331,0.41664,1.20965,1.44654,0.00944,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
12,11717.8,1.28348,1.54374,0.00851,0.64857,0.53027,0.57707,0.42055,1.20356,1.43469,0.00935,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
13,12674.2,1.26089,1.4776,0.00822,0.66124,0.5302,0.58124,0.42413,1.20025,1.42491,0.0093,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
14,13634.2,1.23551,1.41584,0.00794,0.65472,0.53705,0.58461,0.42701,1.19706,1.41698,0.00926,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
15,14591.3,1.21411,1.36407,0.00766,0.66016,0.53783,0.58729,0.42902,1.19427,1.41214,0.00923,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
