epoch,size_bin,recall_at_05,median_iou,fp_above_tp_median,median_tp_conf,gt_count,tp_count,fp_count
0,0-8,0.4282,0.6184,0.0774,0.0379,2557,1095,53411
0,8-16,0.6544,0.6809,0.034,0.0668,5070,3318,155538
0,16-32,0.7653,0.7596,0.0222,0.1264,7487,5730,178624
0,32-64,0.8526,0.8007,0.0161,0.1656,7834,6679,177551
0,64-128,0.8804,0.8046,0.013,0.1635,6678,5879,159838
0,128-9999,0.917,0.8122,0.0092,0.1999,6709,6152,232563
1,0-8,0.4885,0.6182,0.0631,0.0421,2557,1249,90184
1,8-16,0.6787,0.6941,0.0275,0.0706,5070,3441,188981
1,16-32,0.7616,0.7634,0.0173,0.1623,7487,5702,174440
1,32-64,0.8542,0.8164,0.0108,0.3008,7834,6692,160846
1,64-128,0.8934,0.8434,0.007,0.3311,6678,5966,158706
1,128-9999,0.9316,0.867,0.0034,0.4131,6709,6250,189024
2,0-8,0.4595,0.6352,0.0538,0.0457,2557,1175,96259
2,8-16,0.6803,0.6934,0.0291,0.0895,5070,3449,241619
2,16-32,0.7619,0.7632,0.0151,0.1755,7487,5704,228537
2,32-64,0.8366,0.8174,0.0103,0.2766,7834,6554,178256
2,64-128,0.8774,0.8435,0.0082,0.3416,6678,5859,156902
2,128-9999,0.924,0.8696,0.0026,0.5215,6709,6199,164116
3,0-8,0.499,0.6403,0.0508,0.0494,2557,1276,75962
3,8-16,0.7154,0.7085,0.0266,0.0857,5070,3627,192217
3,16-32,0.7989,0.7738,0.0148,0.155,7487,5981,202523
3,32-64,0.881,0.8298,0.0083,0.3276,7834,6902,170616
3,64-128,0.9202,0.8667,0.005,0.4514,6678,6145,154108
3,128-9999,0.9478,0.9011,0.0018,0.6318,6709,6359,127527
4,0-8,0.5405,0.6451,0.0436,0.0536,2557,1382,86004
4,8-16,0.7483,0.7162,0.0236,0.094,5070,3794,181372
4,16-32,0.8312,0.7824,0.012,0.1907,7487,6223,206610
4,32-64,0.9045,0.839,0.0071,0.3621,7834,7086,177366
4,64-128,0.9352,0.8795,0.0038,0.5371,6678,6245,140593
4,128-9999,0.9602,0.9145,0.0011,0.7188,6709,6442,125868
