epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,457.565,1.64535,1.89038,0.00172,0.52365,0.4361,0.45147,0.28018,1.51817,1.2933,0.00239,0.000237706,0.000237706,0.000237706
2,893.196,1.64395,1.32581,0.00172,0.5804,0.49395,0.51471,0.32268,1.50252,1.19592,0.00238,0.000466287,0.000466287,0.000466287
3,1325.83,1.64181,1.25367,0.00173,0.58476,0.50166,0.52192,0.32902,1.51263,1.17213,0.00242,0.000685443,0.000685443,0.000685443
4,1758.06,1.63236,1.21448,0.0017,0.59819,0.50605,0.52956,0.32937,1.51783,1.1292,0.00241,0.000671588,0.000671588,0.000671588
5,2189.63,1.61122,1.16627,0.00169,0.60337,0.51325,0.54626,0.34454,1.49422,1.10157,0.00237,0.000657451,0.000657451,0.000657451
6,2622.38,1.60203,1.14207,0.00167,0.60873,0.51827,0.54758,0.33988,1.53091,1.09285,0.00244,0.000643314,0.000643314,0.000643314
7,3052.18,1.58045,1.11185,0.00166,0.62826,0.53329,0.56945,0.36084,1.4852,1.0615,0.00232,0.000629177,0.000629177,0.000629177
8,3483.72,1.5766,1.09091,0.00162,0.61538,0.53294,0.56145,0.35627,1.48112,1.09079,0.0023,0.00061504,0.00061504,0.00061504
9,3916.02,1.57071,1.06527,0.00159,0.62194,0.5459,0.57567,0.37066,1.47066,1.04087,0.0023,0.000600902,0.000600902,0.000600902
10,4348.8,1.55413,1.04768,0.00158,0.63481,0.55236,0.58213,0.37227,1.46689,1.04416,0.00227,0.000586765,0.000586765,0.000586765
11,4779.58,1.53271,1.01827,0.00155,0.6275,0.56646,0.59028,0.37908,1.45083,1.01903,0.00227,0.000572628,0.000572628,0.000572628
12,5212.08,1.53746,1.0106,0.00154,0.63356,0.56021,0.5881,0.3774,1.44909,1.02658,0.00225,0.000558491,0.000558491,0.000558491
13,5642.43,1.52411,1.00102,0.00155,0.63582,0.55942,0.58557,0.37842,1.45058,1.00517,0.00226,0.000544354,0.000544354,0.000544354
14,6074.15,1.51948,0.98603,0.00153,0.65103,0.57299,0.60522,0.38883,1.44244,0.98733,0.00223,0.000530216,0.000530216,0.000530216
15,6507.27,1.52418,0.98077,0.00152,0.65182,0.56143,0.59985,0.38767,1.44424,0.99083,0.00224,0.000516079,0.000516079,0.000516079
16,6939.66,1.51481,0.96548,0.0015,0.65442,0.56242,0.60647,0.39043,1.44998,0.97816,0.00224,0.000501942,0.000501942,0.000501942
17,7371.88,1.49852,0.94874,0.00149,0.65233,0.57251,0.60766,0.39254,1.43299,0.98617,0.00222,0.000487805,0.000487805,0.000487805
18,7804.31,1.49649,0.94126,0.00149,0.64521,0.58332,0.6113,0.39613,1.43913,0.97285,0.00221,0.000473668,0.000473668,0.000473668
19,8237.62,1.48673,0.92803,0.00147,0.65469,0.58738,0.61512,0.39574,1.43981,0.96644,0.00221,0.00045953,0.00045953,0.00045953
20,8669.01,1.46683,0.90598,0.00147,0.66133,0.58446,0.61598,0.40004,1.42629,0.95955,0.00219,0.000445393,0.000445393,0.000445393
21,9101.41,1.47476,0.90587,0.00144,0.64864,0.58948,0.61867,0.40151,1.42273,0.95749,0.00219,0.000431256,0.000431256,0.000431256
22,9536.26,1.47303,0.89802,0.00144,0.65277,0.57834,0.61092,0.39587,1.42609,0.96614,0.00219,0.000417119,0.000417119,0.000417119
23,9968.1,1.45946,0.88034,0.00144,0.66298,0.59114,0.6168,0.39883,1.41855,0.95124,0.00217,0.000402982,0.000402982,0.000402982
24,10399.4,1.46025,0.88281,0.00142,0.66332,0.59185,0.6191,0.40177,1.42003,0.94869,0.00218,0.000388844,0.000388844,0.000388844
25,10833,1.44514,0.86174,0.00142,0.66038,0.5882,0.62004,0.40117,1.42397,0.9592,0.00219,0.000374707,0.000374707,0.000374707
26,11266.7,1.44544,0.85858,0.00141,0.67081,0.59433,0.62646,0.40505,1.42651,0.95357,0.0022,0.00036057,0.00036057,0.00036057
27,11700.4,1.43996,0.85346,0.00139,0.65835,0.59151,0.62253,0.40392,1.4242,0.95468,0.00219,0.000346433,0.000346433,0.000346433
28,12133.4,1.43124,0.84156,0.0014,0.66589,0.58865,0.62356,0.40482,1.41797,0.95446,0.00216,0.000332296,0.000332296,0.000332296
29,12568,1.42327,0.83124,0.00139,0.6539,0.59179,0.62105,0.40254,1.42416,0.95904,0.00219,0.000318158,0.000318158,0.000318158
30,13001,1.41831,0.81971,0.00137,0.66384,0.59051,0.62034,0.40427,1.41521,0.95016,0.00217,0.000304021,0.000304021,0.000304021
31,13433.5,1.41107,0.80865,0.00137,0.65821,0.59887,0.62346,0.40527,1.41216,0.94694,0.00216,0.000289884,0.000289884,0.000289884
