epoch,size_bin,recall_at_05,median_iou,fp_above_tp_median,median_tp_conf,gt_count,tp_count,fp_count
0,0-8,0.1359,0.6518,0.2799,0.0908,6382,867,35623
0,8-16,0.155,0.7185,0.2395,0.1459,10958,1698,49445
0,16-32,0.1463,0.7932,0.3252,0.1361,13434,1965,47016
0,32-64,0.1195,0.8969,0.3835,0.1556,6098,729,18912
0,64-128,0.1457,0.9386,0.3369,0.2418,1743,254,4704
0,128-9999,0.1389,0.9015,0.217,0.0807,144,20,917
1,0-8,0.0826,0.6473,0.3272,0.077,6382,527,27326
1,8-16,0.1184,0.7266,0.3882,0.0866,10958,1297,54552
1,16-32,0.1367,0.8096,0.3576,0.1238,13434,1837,50587
1,32-64,0.1255,0.8954,0.426,0.1326,6098,765,18592
1,64-128,0.1572,0.9373,0.5025,0.0911,1743,274,4030
1,128-9999,0.1528,0.9391,0.318,0.0445,144,22,802
2,0-8,0.0961,0.6376,0.3002,0.0568,6382,613,44048
2,8-16,0.1188,0.7183,0.3745,0.0721,10958,1302,46913
2,16-32,0.1234,0.8046,0.3919,0.0898,13434,1658,43086
2,32-64,0.1169,0.8896,0.4453,0.1005,6098,713,18757
2,64-128,0.1308,0.9279,0.5059,0.0955,1743,228,4546
2,128-9999,0.1111,0.9311,0.5195,0.0179,144,16,770
3,0-8,0.1012,0.6547,0.3628,0.059,6382,646,36523
3,8-16,0.1357,0.7162,0.3779,0.0761,10958,1487,49482
3,16-32,0.1436,0.7993,0.3692,0.0974,13434,1929,42868
3,32-64,0.1287,0.8874,0.415,0.1188,6098,785,17254
3,64-128,0.1394,0.9327,0.3518,0.15,1743,243,5356
3,128-9999,0.1458,0.8937,0.2477,0.026,144,21,1518
4,0-8,0.1208,0.6441,0.336,0.0756,6382,771,31213
4,8-16,0.137,0.7242,0.4149,0.075,10958,1501,50422
4,16-32,0.1425,0.8132,0.3848,0.1002,13434,1915,44101
4,32-64,0.1396,0.9006,0.4117,0.1045,6098,851,20556
4,64-128,0.1698,0.9293,0.4036,0.1124,1743,296,5146
4,128-9999,0.1875,0.9057,0.3114,0.0337,144,27,925
5,0-8,0.1133,0.6406,0.3584,0.0685,6382,723,33836
5,8-16,0.1351,0.7302,0.3814,0.0789,10958,1480,49918
5,16-32,0.1443,0.8053,0.3871,0.103,13434,1939,42802
5,32-64,0.1381,0.8892,0.3869,0.1427,6098,842,19239
5,64-128,0.1589,0.9303,0.361,0.1582,1743,277,5557
5,128-9999,0.2292,0.9231,0.2039,0.0382,144,33,1447
6,0-8,0.1363,0.6479,0.3228,0.0722,6382,870,33440
6,8-16,0.1557,0.7288,0.346,0.0912,10958,1706,49428
6,16-32,0.146,0.8082,0.4151,0.0869,13434,1961,43686
6,32-64,0.1191,0.8997,0.4876,0.082,6098,726,17950
6,64-128,0.1486,0.9312,0.5081,0.0612,1743,259,4491
6,128-9999,0.2083,0.9255,0.2587,0.0344,144,30,1156
7,0-8,0.1009,0.6611,0.4133,0.064,6382,644,32403
7,8-16,0.1401,0.7292,0.3803,0.1009,10958,1535,56936
7,16-32,0.1471,0.8,0.3694,0.1384,13434,1976,44302
7,32-64,0.1145,0.8934,0.5206,0.0997,6098,698,15436
7,64-128,0.1079,0.9381,0.5141,0.0854,1743,188,4287
7,128-9999,0.1458,0.9244,0.3098,0.0435,144,21,778
8,0-8,0.1235,0.6515,0.4079,0.0472,6382,788,30803
8,8-16,0.1581,0.723,0.3854,0.0695,10958,1732,55796
8,16-32,0.1491,0.8063,0.3884,0.0953,13434,2003,40825
8,32-64,0.1255,0.8958,0.4561,0.0964,6098,765,17006
8,64-128,0.1383,0.9353,0.5039,0.0517,1743,241,4767
8,128-9999,0.1944,0.9369,0.3866,0.0172,144,28,732
9,0-8,0.136,0.6431,0.3482,0.0693,6382,868,35179
9,8-16,0.1571,0.7244,0.3733,0.0876,10958,1721,50869
9,16-32,0.1478,0.8041,0.3985,0.0988,13434,1986,42612
9,32-64,0.1204,0.8904,0.4587,0.0995,6098,734,17957
9,64-128,0.1681,0.9336,0.4789,0.0742,1743,293,4598
9,128-9999,0.1944,0.9316,0.3314,0.0421,144,28,682
10,0-8,0.1376,0.6394,0.3193,0.0694,6382,878,30293
10,8-16,0.1692,0.7243,0.3481,0.0876,10958,1854,56201
10,16-32,0.1521,0.8101,0.414,0.0933,13434,2043,41941
10,32-64,0.1307,0.8989,0.4621,0.1124,6098,797,16630
10,64-128,0.1486,0.9379,0.4553,0.1013,1743,259,4566
10,128-9999,0.1944,0.9389,0.3688,0.0288,144,28,724
11,0-8,0.149,0.649,0.3335,0.0721,6382,951,34367
11,8-16,0.1709,0.7281,0.3334,0.1009,10958,1873,51721
11,16-32,0.1577,0.8086,0.3899,0.1136,13434,2118,41431
11,32-64,0.1255,0.8983,0.4509,0.1155,6098,765,17096
11,64-128,0.1216,0.939,0.5119,0.0849,1743,212,3940
11,128-9999,0.1597,0.9252,0.4245,0.0107,144,23,556
12,0-8,0.1258,0.6426,0.3579,0.056,6382,803,30820
12,8-16,0.1508,0.7318,0.4161,0.0662,10958,1652,53680
