epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,749.393,2.00933,3.00057,0.0025,0.41607,0.3619,0.35135,0.21227,1.56123,1.58894,0.00266,0.000237706,0.000237706,0.000237706
2,1467.58,1.70961,1.77923,0.00188,0.49251,0.43216,0.43646,0.26754,1.52393,1.42181,0.00258,0.000466287,0.000466287,0.000466287
3,2180.72,1.67454,1.53293,0.00181,0.52982,0.45797,0.47014,0.28916,1.50116,1.38312,0.0025,0.000685443,0.000685443,0.000685443
4,2895.56,1.66122,1.44689,0.00178,0.56456,0.48186,0.49846,0.31129,1.48623,1.29739,0.00243,0.000671588,0.000671588,0.000671588
5,3610.58,1.61662,1.37441,0.00173,0.56878,0.50676,0.51916,0.32567,1.47345,1.27274,0.00239,0.000657451,0.000657451,0.000657451
6,4323.74,1.60217,1.32812,0.00169,0.57518,0.50268,0.52762,0.33194,1.46634,1.23677,0.00238,0.000643314,0.000643314,0.000643314
7,5034.37,1.57739,1.27302,0.00168,0.60533,0.51566,0.54501,0.34754,1.44627,1.18048,0.00228,0.000629177,0.000629177,0.000629177
8,5744.58,1.56891,1.25434,0.00162,0.58837,0.52494,0.55189,0.35279,1.45013,1.18924,0.00231,0.00061504,0.00061504,0.00061504
9,6457.86,1.56081,1.21696,0.00159,0.62908,0.5278,0.56185,0.35977,1.447,1.17797,0.00229,0.000600902,0.000600902,0.000600902
10,7167.54,1.54084,1.19237,0.00158,0.61456,0.54302,0.56885,0.36559,1.42347,1.14483,0.00224,0.000586765,0.000586765,0.000586765
11,7876.8,1.52339,1.15023,0.00155,0.62681,0.54872,0.57772,0.37238,1.42096,1.11421,0.00224,0.000572628,0.000572628,0.000572628
12,8591.89,1.52103,1.1412,0.00152,0.62464,0.55155,0.5794,0.37115,1.42664,1.1464,0.00223,0.000558491,0.000558491,0.000558491
13,9301.57,1.5098,1.13434,0.00153,0.63202,0.55473,0.58292,0.37835,1.40978,1.10615,0.0022,0.000544354,0.000544354,0.000544354
14,10229.1,1.49947,1.10762,0.00151,0.63181,0.55718,0.58649,0.38072,1.40261,1.10467,0.00219,0.000530216,0.000530216,0.000530216
15,11157.8,1.50353,1.09326,0.0015,0.64877,0.56238,0.59972,0.39052,1.39818,1.07057,0.00217,0.000516079,0.000516079,0.000516079
16,11873.3,1.49389,1.07433,0.00148,0.63869,0.56789,0.59595,0.38217,1.4246,1.07506,0.00221,0.000501942,0.000501942,0.000501942
