epoch,size_bin,recall_at_05,median_iou,fp_above_tp_median,median_tp_conf,gt_count,tp_count,fp_count
0,0-8,0.0895,0.628,0.3399,0.0742,6382,571,27385
0,8-16,0.1055,0.6965,0.3719,0.0833,10958,1156,52545
0,16-32,0.1241,0.7853,0.3233,0.1184,13434,1667,47337
0,32-64,0.1305,0.8735,0.3413,0.1337,6098,796,21980
0,64-128,0.1457,0.8679,0.2449,0.1874,1743,254,7353
0,128-9999,0.1181,0.7584,0.266,0.0277,144,17,2365
1,0-8,0.0987,0.6338,0.3277,0.0732,6382,630,38799
1,8-16,0.1139,0.6993,0.3665,0.0872,10958,1248,55435
1,16-32,0.1319,0.7923,0.3409,0.154,13434,1772,37905
1,32-64,0.1328,0.8739,0.4014,0.1635,6098,810,16396
1,64-128,0.1543,0.8796,0.3921,0.1566,1743,269,5504
1,128-9999,0.2083,0.828,0.1041,0.0926,144,30,1826
2,0-8,0.091,0.6141,0.3304,0.0721,6382,581,34204
2,8-16,0.1019,0.7042,0.3958,0.0815,10958,1117,56121
2,16-32,0.1205,0.8071,0.4179,0.109,13434,1619,46276
2,32-64,0.115,0.879,0.5354,0.1019,6098,701,15084
2,64-128,0.113,0.8923,0.4673,0.1063,1743,197,4915
2,128-9999,0.0903,0.8718,0.3416,0.0235,144,13,1660
3,0-8,0.121,0.6417,0.3359,0.0726,6382,772,31096
3,8-16,0.1475,0.7105,0.3353,0.0938,10958,1616,60097
3,16-32,0.146,0.7963,0.3728,0.1192,13434,1961,37642
3,32-64,0.133,0.8934,0.4511,0.1221,6098,811,15551
3,64-128,0.144,0.9008,0.3609,0.1213,1743,251,5769
3,128-9999,0.1528,0.8305,0.3425,0.0143,144,22,2222
4,0-8,0.0898,0.6442,0.3823,0.0759,6382,573,37082
4,8-16,0.1192,0.7236,0.4144,0.0876,10958,1306,57488
4,16-32,0.134,0.8135,0.4115,0.1285,13434,1800,40238
4,32-64,0.1379,0.8903,0.4663,0.1461,6098,841,15639
4,64-128,0.171,0.9127,0.4646,0.1387,1743,298,4171
4,128-9999,0.2083,0.8657,0.1895,0.0534,144,30,1430
5,0-8,0.1059,0.6294,0.3464,0.0804,6382,676,34924
5,8-16,0.1259,0.7299,0.4007,0.0836,10958,1380,55910
5,16-32,0.1244,0.8093,0.4239,0.1005,13434,1671,44078
5,32-64,0.1186,0.8979,0.4854,0.1152,6098,723,15477
5,64-128,0.1199,0.9179,0.4463,0.15,1743,209,3984
5,128-9999,0.0972,0.8613,0.3219,0.02,144,14,1075
6,0-8,0.1065,0.6366,0.3625,0.0642,6382,680,31065
6,8-16,0.1441,0.7212,0.3827,0.0833,10958,1579,55514
6,16-32,0.1381,0.8134,0.4235,0.1016,13434,1855,42294
6,32-64,0.1232,0.8941,0.5036,0.0895,6098,751,16654
6,64-128,0.1486,0.9197,0.4751,0.0891,1743,259,4696
6,128-9999,0.2361,0.8909,0.3657,0.0244,144,34,1102
7,0-8,0.115,0.6443,0.3998,0.0474,6382,734,32521
7,8-16,0.1514,0.7132,0.3642,0.0748,10958,1659,53260
7,16-32,0.1533,0.803,0.3933,0.1034,13434,2059,41942
7,32-64,0.1294,0.8932,0.5161,0.0706,6098,789,17298
7,64-128,0.1285,0.9213,0.47,0.0768,1743,224,5177
7,128-9999,0.125,0.8915,0.2399,0.0183,144,18,1655
8,0-8,0.0931,0.6641,0.4703,0.0569,6382,594,37289
8,8-16,0.1304,0.7217,0.3929,0.0839,10958,1429,62396
8,16-32,0.1261,0.8092,0.483,0.1009,13434,1694,35663
8,32-64,0.1091,0.9002,0.5596,0.0924,6098,665,13606
8,64-128,0.1268,0.9366,0.5208,0.1045,1743,221,4094
8,128-9999,0.1528,0.9155,0.3369,0.0157,144,22,938
9,0-8,0.1318,0.6408,0.3408,0.0713,6382,841,35997
9,8-16,0.1462,0.729,0.3428,0.0924,10958,1602,54827
9,16-32,0.1432,0.8139,0.4153,0.1107,13434,1924,39083
9,32-64,0.1276,0.8974,0.5236,0.0947,6098,778,15080
9,64-128,0.1583,0.9339,0.4299,0.1219,1743,276,4606
9,128-9999,0.1806,0.9236,0.2577,0.0327,144,26,1199
10,0-8,0.1257,0.6384,0.4222,0.0512,6382,802,28155
