epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,314.892,1.6837,2.0141,0.00178,0.50045,0.43461,0.4345,0.26796,1.52912,1.321,0.0024,0.000237706,0.000237706,0.000237706
2,608.248,1.67002,1.38842,0.00176,0.51239,0.46229,0.46458,0.28512,1.54598,1.28527,0.00245,0.000466287,0.000466287,0.000466287
3,897.868,1.66169,1.30565,0.00175,0.55076,0.47105,0.49027,0.30562,1.53978,1.21655,0.00246,0.000685443,0.000685443,0.000685443
4,1185.53,1.65908,1.25855,0.00174,0.56935,0.4713,0.49066,0.3056,1.53769,1.20913,0.00247,0.000671588,0.000671588,0.000671588
5,1472.46,1.63142,1.20794,0.00171,0.55884,0.50126,0.509,0.31897,1.51196,1.1699,0.00239,0.000657451,0.000657451,0.000657451
6,1760.13,1.62846,1.19916,0.0017,0.5899,0.50768,0.52895,0.33087,1.52635,1.13386,0.00241,0.000643314,0.000643314,0.000643314
7,2046.73,1.60872,1.15537,0.0017,0.60653,0.51135,0.54457,0.34552,1.50676,1.11101,0.00238,0.000629177,0.000629177,0.000629177
8,2337.09,1.60357,1.13853,0.00165,0.59955,0.51501,0.54321,0.34653,1.50598,1.10308,0.00237,0.00061504,0.00061504,0.00061504
9,2627.66,1.60305,1.12211,0.00164,0.62345,0.51805,0.54743,0.34687,1.5102,1.09379,0.00237,0.000600902,0.000600902,0.000600902
10,2914.53,1.58174,1.09767,0.00162,0.6,0.53202,0.55646,0.35428,1.47524,1.07897,0.00232,0.000586765,0.000586765,0.000586765
11,3202.24,1.56488,1.07249,0.0016,0.6183,0.53483,0.56584,0.35892,1.48273,1.06756,0.00233,0.000572628,0.000572628,0.000572628
12,3490.63,1.56501,1.05801,0.00158,0.62234,0.53322,0.56122,0.35756,1.47141,1.05775,0.00229,0.000558491,0.000558491,0.000558491
