epoch,size_bin,recall_at_05,median_iou,fp_above_tp_median,median_tp_conf,gt_count,tp_count,fp_count
0,0-8,0.602,0.6642,0.0563,0.1968,6382,3842,29276
0,8-16,0.7639,0.7383,0.0313,0.3433,10958,8371,44581
0,16-32,0.8333,0.8214,0.0215,0.4785,13434,11194,38358
0,32-64,0.9041,0.9036,0.0115,0.669,6098,5513,14223
0,64-128,0.9208,0.9422,0.0126,0.7324,1743,1605,3417
0,128-9999,0.9306,0.9434,0.0053,0.7417,144,134,1128
1,0-8,0.617,0.673,0.0749,0.2372,6382,3938,32995
1,8-16,0.7822,0.7438,0.0346,0.396,10958,8571,46563
1,16-32,0.8387,0.8196,0.0192,0.5796,13434,11267,34534
1,32-64,0.9024,0.9017,0.0096,0.8374,6098,5503,12102
1,64-128,0.9323,0.9358,0.0112,0.9106,1743,1625,2773
1,128-9999,0.9097,0.9402,0.0113,0.832,144,131,529
2,0-8,0.6282,0.6666,0.0481,0.1796,6382,4009,30792
2,8-16,0.7892,0.7444,0.0237,0.3364,10958,8648,45961
2,16-32,0.8522,0.8199,0.0162,0.4922,13434,11448,34233
2,32-64,0.9239,0.8988,0.01,0.7139,6098,5634,13334
2,64-128,0.9518,0.9367,0.0075,0.8652,1743,1659,4128
2,128-9999,0.9375,0.9307,0.002,0.8003,144,135,977
3,0-8,0.6355,0.6619,0.0495,0.189,6382,4056,27147
3,8-16,0.7879,0.743,0.0243,0.3757,10958,8634,44785
3,16-32,0.8525,0.8201,0.0172,0.5332,13434,11453,36355
3,32-64,0.9249,0.8996,0.0092,0.7852,6098,5640,13852
3,64-128,0.9507,0.9338,0.0069,0.8862,1743,1657,4367
3,128-9999,0.9167,0.9311,0.0016,0.7832,144,132,1265
4,0-8,0.6645,0.6712,0.044,0.3208,6382,4241,32913
4,8-16,0.8072,0.7509,0.0253,0.5195,10958,8845,44857
4,16-32,0.8609,0.824,0.016,0.6206,13434,11566,31652
4,32-64,0.927,0.9028,0.0087,0.7759,6098,5653,12297
4,64-128,0.9524,0.9384,0.0056,0.8823,1743,1660,2660
4,128-9999,0.9722,0.9368,0.002,0.8403,144,140,501
5,0-8,0.66,0.6713,0.0481,0.2705,6382,4212,28774
5,8-16,0.817,0.7454,0.0229,0.457,10958,8953,44713
5,16-32,0.8776,0.8202,0.0135,0.6279,13434,11790,36003
5,32-64,0.9323,0.9012,0.0071,0.8232,6098,5685,12413
5,64-128,0.9575,0.9375,0.0069,0.8784,1743,1669,3048
5,128-9999,0.9514,0.9377,0.0012,0.8472,144,137,821
6,0-8,0.6623,0.667,0.0475,0.2554,6382,4227,26617
6,8-16,0.8161,0.7486,0.023,0.4416,10958,8943,42516
6,16-32,0.8813,0.8235,0.012,0.6206,13434,11840,35266
6,32-64,0.9423,0.9031,0.0058,0.8164,6098,5746,14233
6,64-128,0.9604,0.9409,0.0052,0.8774,1743,1674,3297
6,128-9999,0.9653,0.9428,0.0,0.8765,144,139,742
7,0-8,0.6581,0.6677,0.0452,0.2227,6382,4200,27373
7,8-16,0.8138,0.7554,0.0198,0.4707,10958,8918,42870
7,16-32,0.8815,0.8253,0.0118,0.6299,13434,11842,37107
7,32-64,0.9434,0.9018,0.0069,0.8164,6098,5753,13764
7,64-128,0.9696,0.9392,0.0083,0.8916,1743,1690,3238
7,128-9999,0.9583,0.9411,0.0017,0.8848,144,138,581
8,0-8,0.68,0.6777,0.0413,0.2366,6382,4340,28888
8,8-16,0.8249,0.7522,0.0201,0.4727,10958,9039,49188
