epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,265.185,1.71831,2.03024,0.00182,0.48392,0.41573,0.41471,0.25392,1.61003,1.41109,0.00254,0.000237633,0.000237633,0.000237633
2,508.223,1.68757,1.38849,0.00177,0.50961,0.45062,0.45853,0.28198,1.5605,1.26902,0.00249,0.000466215,0.000466215,0.000466215
3,747.972,1.68181,1.3169,0.00175,0.54268,0.46567,0.47377,0.29097,1.59731,1.23871,0.00258,0.000685373,0.000685373,0.000685373
4,985.579,1.67619,1.2699,0.00174,0.55006,0.47019,0.48863,0.30243,1.55245,1.19145,0.00246,0.000671588,0.000671588,0.000671588
5,1221.64,1.65024,1.22639,0.00173,0.56189,0.50406,0.51355,0.32013,1.53697,1.1626,0.00243,0.000657451,0.000657451,0.000657451
6,1459.3,1.64268,1.20521,0.00171,0.58765,0.50283,0.51993,0.32804,1.52107,1.16802,0.00241,0.000643314,0.000643314,0.000643314
7,1695.66,1.62402,1.16723,0.00169,0.60408,0.50038,0.53394,0.33638,1.53809,1.14442,0.00242,0.000629177,0.000629177,0.000629177
8,1932.6,1.61817,1.14686,0.00167,0.58846,0.50795,0.53267,0.33765,1.51762,1.12703,0.00241,0.00061504,0.00061504,0.00061504
9,2170.08,1.60886,1.13319,0.00165,0.5884,0.51711,0.53221,0.33739,1.52912,1.11978,0.0024,0.000600902,0.000600902,0.000600902
10,2405.02,1.59573,1.11593,0.00165,0.59646,0.52533,0.54542,0.34494,1.51533,1.11418,0.00236,0.000586765,0.000586765,0.000586765
11,2639.3,1.5871,1.0963,0.00162,0.61655,0.52341,0.55093,0.34586,1.52276,1.08967,0.00238,0.000572628,0.000572628,0.000572628
12,2876.32,1.57422,1.0793,0.00161,0.60806,0.53842,0.56103,0.35586,1.5049,1.06998,0.00235,0.000558491,0.000558491,0.000558491
13,3111.61,1.57921,1.07622,0.0016,0.62451,0.53269,0.56184,0.35609,1.50024,1.06321,0.00233,0.000544354,0.000544354,0.000544354
14,3347.16,1.56452,1.05455,0.00159,0.62709,0.53889,0.57073,0.36399,1.49275,1.06012,0.00233,0.000530216,0.000530216,0.000530216
15,3583.58,1.56044,1.03793,0.00157,0.6282,0.53988,0.57089,0.36311,1.48143,1.05712,0.00231,0.000516079,0.000516079,0.000516079
16,3818.17,1.55044,1.02923,0.00156,0.64087,0.52991,0.5676,0.36294,1.48358,1.05248,0.00232,0.000501942,0.000501942,0.000501942
17,4051.34,1.54792,1.02151,0.00155,0.64144,0.53971,0.57776,0.37001,1.488,1.04031,0.00231,0.000487805,0.000487805,0.000487805
18,4284.75,1.54237,1.00978,0.00155,0.62889,0.55261,0.57966,0.37118,1.47246,1.04985,0.00228,0.000473668,0.000473668,0.000473668
