epoch,size_bin,recall_at_05,median_iou,fp_above_tp_median,median_tp_conf,gt_count,tp_count,fp_count
0,0-8,0.5982,0.657,0.0662,0.2366,6382,3818,34977
0,8-16,0.7407,0.7285,0.0358,0.354,10958,8117,44003
0,16-32,0.8169,0.8106,0.0254,0.4707,13434,10974,33962
0,32-64,0.8909,0.8982,0.0208,0.6704,6098,5433,13574
0,64-128,0.9306,0.9394,0.0142,0.834,1743,1622,3726
0,128-9999,0.9444,0.9443,0.0028,0.7573,144,136,1798
1,0-8,0.5851,0.6598,0.0556,0.1931,6382,3734,23499
1,8-16,0.7721,0.7409,0.0285,0.3648,10958,8461,47163
1,16-32,0.8388,0.818,0.0174,0.5391,13434,11269,38443
1,32-64,0.9101,0.9005,0.0072,0.7388,6098,5550,15353
1,64-128,0.9432,0.938,0.0079,0.8164,1743,1644,3659
1,128-9999,0.9444,0.9374,0.0022,0.7996,144,136,915
2,0-8,0.5898,0.6596,0.0481,0.1683,6382,3764,27520
2,8-16,0.7818,0.7396,0.0275,0.3381,10958,8567,43134
2,16-32,0.8621,0.8118,0.0162,0.5332,13434,11581,38905
2,32-64,0.9252,0.8912,0.0083,0.731,6098,5642,15327
2,64-128,0.9438,0.935,0.0112,0.8345,1743,1645,2846
2,128-9999,0.9583,0.9371,0.0064,0.8169,144,138,466
3,0-8,0.6147,0.6653,0.0568,0.2069,6382,3923,26358
3,8-16,0.7905,0.744,0.0237,0.4282,10958,8662,45220
3,16-32,0.8622,0.821,0.0126,0.626,13434,11583,38131
3,32-64,0.9287,0.9018,0.0087,0.7705,6098,5663,13603
3,64-128,0.9466,0.9375,0.0109,0.8357,1743,1650,2924
3,128-9999,0.9375,0.9349,0.0057,0.8027,144,135,698
4,0-8,0.647,0.6669,0.0515,0.2394,6382,4129,25951
4,8-16,0.8026,0.746,0.023,0.4131,10958,8795,44743
4,16-32,0.8653,0.8226,0.0153,0.5547,13434,11625,35772
4,32-64,0.9301,0.9013,0.0074,0.752,6098,5672,14112
4,64-128,0.9552,0.9369,0.0065,0.8418,1743,1665,3236
4,128-9999,0.9653,0.9337,0.0029,0.8164,144,139,678
5,0-8,0.6332,0.6744,0.0486,0.2281,6382,4041,22919
5,8-16,0.8142,0.7495,0.0217,0.4321,10958,8922,49101
5,16-32,0.8723,0.8221,0.0123,0.6333,13434,11719,37654
