epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,168.765,2.00038,3.60694,0.0023,0.40513,0.21014,0.14459,0.08317,1.77412,2.08083,0.00289,0.000236861,0.000236861,0.000236861
2,298.51,1.9085,2.33698,0.0021,0.32619,0.27481,0.24249,0.14684,1.74316,1.76654,0.0028,0.000465459,0.000465459,0.000465459
3,426.029,1.88904,2.0127,0.00205,0.36299,0.3102,0.28433,0.17044,1.74569,1.69251,0.00285,0.000684632,0.000684632,0.000684632
4,555.157,1.88054,1.82006,0.00202,0.3988,0.32645,0.3085,0.18686,1.75901,1.64508,0.00281,0.000671588,0.000671588,0.000671588
5,681.397,1.858,1.69446,0.00199,0.42627,0.35571,0.3381,0.20753,1.71587,1.59444,0.00276,0.000657451,0.000657451,0.000657451
6,806.324,1.85612,1.64413,0.00199,0.41983,0.36,0.34857,0.21129,1.73163,1.57908,0.00275,0.000643314,0.000643314,0.000643314
7,930.542,1.83671,1.59052,0.00197,0.44208,0.36584,0.35738,0.22138,1.71003,1.52553,0.00272,0.000629177,0.000629177,0.000629177
8,1059.47,1.84044,1.56928,0.00196,0.44692,0.37871,0.37158,0.22884,1.6992,1.49709,0.00271,0.00061504,0.00061504,0.00061504
9,1188.43,1.84355,1.5435,0.00193,0.46217,0.38027,0.37896,0.23171,1.69786,1.4898,0.00271,0.000600902,0.000600902,0.000600902
10,1314.29,1.81169,1.50654,0.00192,0.46554,0.38744,0.3854,0.23363,1.68278,1.4718,0.00273,0.000586765,0.000586765,0.000586765
11,1445.18,1.82157,1.49806,0.00191,0.47565,0.39169,0.39104,0.24296,1.66883,1.44977,0.00265,0.000572628,0.000572628,0.000572628
12,1573.95,1.81908,1.47764,0.0019,0.47209,0.40416,0.39517,0.24275,1.68732,1.44181,0.00266,0.000558491,0.000558491,0.000558491
13,1702.54,1.80461,1.46481,0.0019,0.47932,0.40884,0.40395,0.24904,1.66639,1.46088,0.00266,0.000544354,0.000544354,0.000544354
14,1829.57,1.79859,1.43898,0.00189,0.50033,0.39867,0.40562,0.2494,1.68282,1.4325,0.00269,0.000530216,0.000530216,0.000530216
15,1958.43,1.79954,1.42946,0.00187,0.49422,0.4077,0.41055,0.25526,1.66856,1.42463,0.00263,0.000516079,0.000516079,0.000516079
16,2086.94,1.78295,1.41799,0.00187,0.499,0.40875,0.41137,0.25204,1.67285,1.38673,0.00269,0.000501942,0.000501942,0.000501942
17,2215.53,1.79414,1.40743,0.00187,0.48146,0.40715,0.41176,0.25298,1.66953,1.4068,0.00264,0.000487805,0.000487805,0.000487805
18,2343.86,1.78621,1.40536,0.00185,0.5047,0.41164,0.42058,0.25917,1.66411,1.38869,0.00262,0.000473668,0.000473668,0.000473668
19,2472.08,1.78413,1.38815,0.00183,0.52887,0.40812,0.42238,0.26258,1.66186,1.38323,0.00261,0.00045953,0.00045953,0.00045953
20,2599.19,1.76846,1.37654,0.00183,0.51123,0.41547,0.4231,0.2608,1.66728,1.39049,0.00264,0.000445393,0.000445393,0.000445393
21,2728.36,1.77832,1.37104,0.00184,0.51234,0.41537,0.42382,0.26177,1.67145,1.37664,0.00263,0.000431256,0.000431256,0.000431256
22,2871.05,1.77427,1.36179,0.00182,0.50547,0.42153,0.42377,0.2646,1.654,1.37943,0.0026,0.000417119,0.000417119,0.000417119
23,3018.97,1.76715,1.35519,0.00182,0.50644,0.41911,0.43005,0.26992,1.64528,1.36378,0.00261,0.000402982,0.000402982,0.000402982
24,3146.17,1.77234,1.35247,0.00181,0.50677,0.42049,0.42829,0.26356,1.67079,1.36851,0.00262,0.000388844,0.000388844,0.000388844
25,3274.87,1.76185,1.33736,0.00181,0.51849,0.42785,0.44023,0.27364,1.64989,1.34682,0.0026,0.000374707,0.000374707,0.000374707
26,3404.67,1.76766,1.33491,0.00181,0.52066,0.42529,0.43747,0.26986,1.65248,1.3603,0.0026,0.00036057,0.00036057,0.00036057
27,3535.52,1.76008,1.32575,0.0018,0.53028,0.42319,0.44011,0.27356,1.65305,1.33988,0.00261,0.000346433,0.000346433,0.000346433
28,3663.72,1.74859,1.31705,0.00181,0.52938,0.42317,0.4394,0.27251,1.64988,1.35619,0.00259,0.000332296,0.000332296,0.000332296
29,3790.08,1.74599,1.31185,0.00178,0.53397,0.42217,0.44137,0.2734,1.6484,1.35236,0.00259,0.000318158,0.000318158,0.000318158
30,3915.68,1.74715,1.30827,0.00178,0.5275,0.43077,0.44402,0.27483,1.6474,1.33579,0.00258,0.000304021,0.000304021,0.000304021
31,4044.33,1.74066,1.29785,0.00178,0.53099,0.4254,0.44346,0.2762,1.64332,1.34281,0.00257,0.000289884,0.000289884,0.000289884
32,4175.26,1.7425,1.29435,0.00178,0.52064,0.43656,0.44654,0.27678,1.64936,1.33478,0.00258,0.000275747,0.000275747,0.000275747
33,4303.63,1.74469,1.2961,0.00176,0.53649,0.43108,0.44706,0.27893,1.63897,1.32227,0.00256,0.00026161,0.00026161,0.00026161
34,4430.66,1.7334,1.28412,0.00177,0.53714,0.43018,0.44768,0.27879,1.64106,1.32633,0.00257,0.000247472,0.000247472,0.000247472
35,4558.29,1.73007,1.28336,0.00175,0.53454,0.43579,0.44889,0.28087,1.63725,1.32068,0.00255,0.000233335,0.000233335,0.000233335
36,4687.18,1.72141,1.27068,0.00176,0.53173,0.43279,0.44591,0.27795,1.63886,1.3282,0.00257,0.000219198,0.000219198,0.000219198
37,4815.94,1.72606,1.27485,0.00174,0.53164,0.43722,0.4519,0.28147,1.63434,1.31697,0.00255,0.000205061,0.000205061,0.000205061
38,4941.83,1.724,1.26782,0.00176,0.54296,0.42815,0.45102,0.28167,1.63987,1.32327,0.00257,0.000190924,0.000190924,0.000190924
39,5069.09,1.72772,1.26539,0.00175,0.54526,0.4373,0.45337,0.28185,1.63306,1.32355,0.00255,0.000176786,0.000176786,0.000176786
40,5196.43,1.72053,1.25787,0.00174,0.53685,0.43611,0.45234,0.28213,1.63577,1.31806,0.00256,0.000162649,0.000162649,0.000162649
41,5315.34,1.67185,1.23808,0.00186,0.52151,0.44178,0.44938,0.27924,1.64175,1.32169,0.00257,0.000148512,0.000148512,0.000148512
