epoch,size_bin,recall_at_05,median_iou,fp_above_tp_median,median_tp_conf,gt_count,tp_count,fp_count
0,0-8,0.3408,0.6195,0.1635,0.1721,6382,2175,18235
0,8-16,0.5562,0.6847,0.1254,0.1981,10958,6095,58576
0,16-32,0.5785,0.7656,0.0913,0.1871,13434,7771,43938
0,32-64,0.7104,0.8945,0.0307,0.3179,6098,4332,13379
0,64-128,0.8135,0.9355,0.0179,0.3225,1743,1418,5752
0,128-9999,0.8611,0.9498,0.0069,0.3285,144,124,2605
1,0-8,0.3967,0.6301,0.143,0.1244,6382,2532,18004
1,8-16,0.5971,0.6898,0.0844,0.1705,10958,6543,51357
1,16-32,0.6751,0.7774,0.0477,0.2323,13434,9069,45784
1,32-64,0.8283,0.8897,0.0152,0.5737,6098,5051,16318
1,64-128,0.8847,0.9358,0.0102,0.6567,1743,1542,5116
1,128-9999,0.9306,0.9502,0.0027,0.5981,144,134,2193
2,0-8,0.4275,0.6307,0.1366,0.1116,6382,2728,18241
2,8-16,0.6228,0.6952,0.0803,0.1619,10958,6825,50854
2,16-32,0.7019,0.7766,0.0404,0.2394,13434,9429,43635
2,32-64,0.8583,0.8837,0.0126,0.5718,6098,5234,16552
2,64-128,0.9076,0.9249,0.0098,0.7105,1743,1582,4998
2,128-9999,0.9306,0.9393,0.0038,0.5996,144,134,1322
3,0-8,0.4198,0.6329,0.1316,0.1251,6382,2679,23088
3,8-16,0.6367,0.6908,0.0701,0.2081,10958,6977,53046
3,16-32,0.7232,0.7751,0.0372,0.3123,13434,9715,43445
3,32-64,0.8626,0.8898,0.0132,0.7705,6098,5260,12126
3,64-128,0.9139,0.9264,0.0125,0.8398,1743,1593,3120
3,128-9999,0.9306,0.9349,0.01,0.6187,144,134,800
4,0-8,0.4323,0.6312,0.1376,0.1272,6382,2759,17790
4,8-16,0.6561,0.696,0.0739,0.1931,10958,7190,52169
4,16-32,0.7474,0.7806,0.0326,0.3123,13434,10041,45889
4,32-64,0.8745,0.8932,0.0123,0.6909,6098,5333,13013
4,64-128,0.9271,0.9348,0.0093,0.7993,1743,1616,3545
4,128-9999,0.9236,0.9406,0.0082,0.5478,144,133,850
5,0-8,0.4564,0.6364,0.1129,0.1505,6382,2913,20981
5,8-16,0.6752,0.6957,0.0616,0.2466,10958,7399,56193
5,16-32,0.7488,0.7803,0.0321,0.3477,13434,10059,44153
5,32-64,0.8718,0.8913,0.0111,0.7056,6098,5316,9957
5,64-128,0.9111,0.9339,0.0139,0.8018,1743,1588,2157
5,128-9999,0.9236,0.9445,0.0083,0.6299,144,133,604
6,0-8,0.484,0.6375,0.1098,0.1329,6382,3089,23981
6,8-16,0.6735,0.7012,0.0572,0.2147,10958,7380,49762
6,16-32,0.7559,0.789,0.0303,0.3276,13434,10155,43060
6,32-64,0.8829,0.8933,0.0095,0.7734,6098,5384,11898
6,64-128,0.9277,0.9353,0.0112,0.8765,1743,1617,3221
6,128-9999,0.9514,0.9464,0.0043,0.7476,144,137,692
7,0-8,0.4876,0.636,0.0974,0.1422,6382,3112,24619
7,8-16,0.6766,0.7058,0.057,0.2134,10958,7414,45711
7,16-32,0.7646,0.7914,0.0311,0.3408,13434,10271,43866
7,32-64,0.8934,0.8928,0.008,0.7476,6098,5448,14129
7,64-128,0.9369,0.9391,0.0082,0.855,1743,1633,3031
7,128-9999,0.9583,0.9461,0.0084,0.7439,144,138,713
8,0-8,0.469,0.6336,0.093,0.1379,6382,2993,18133
8,8-16,0.6966,0.7031,0.0481,0.2295,10958,7633,51634
8,16-32,0.7814,0.7869,0.0264,0.363,13434,10497,48071
8,32-64,0.8849,0.8918,0.0119,0.814,6098,5396,11306
8,64-128,0.9346,0.9356,0.0101,0.9067,1743,1629,2959
8,128-9999,0.9306,0.9398,0.0052,0.7935,144,134,963
9,0-8,0.506,0.6392,0.0946,0.1694,6382,3229,22527
9,8-16,0.6936,0.7131,0.0494,0.2659,10958,7601,51693
9,16-32,0.7826,0.7896,0.0266,0.396,13434,10513,42870
9,32-64,0.8952,0.8938,0.0095,0.752,6098,5459,12505
9,64-128,0.9334,0.9319,0.0081,0.8389,1743,1627,2700
9,128-9999,0.9653,0.943,0.0075,0.687,144,139,670
10,0-8,0.481,0.6388,0.0939,0.1412,6382,3070,20956
10,8-16,0.693,0.7097,0.0475,0.2366,10958,7594,46944
10,16-32,0.7921,0.7906,0.025,0.3711,13434,10641,45781
10,32-64,0.9059,0.8962,0.0072,0.7866,6098,5524,14922
10,64-128,0.9449,0.9376,0.0081,0.8975,1743,1647,3591
10,128-9999,0.9653,0.9418,0.0024,0.8481,144,139,848
11,0-8,0.5077,0.6398,0.0943,0.1556,6382,3240,27225
11,8-16,0.7017,0.7113,0.0523,0.2295,10958,7689,47883
11,16-32,0.7781,0.7933,0.0285,0.3496,13434,10453,38832
11,32-64,0.9021,0.8951,0.0087,0.7461,6098,5501,12887
11,64-128,0.9472,0.9388,0.0079,0.8613,1743,1651,3295
11,128-9999,0.9514,0.9397,0.005,0.8115,144,137,596
12,0-8,0.4929,0.636,0.0854,0.1699,6382,3146,18671
12,8-16,0.7039,0.7128,0.0471,0.2644,10958,7713,48643
12,16-32,0.7996,0.7921,0.0244,0.3999,13434,10742,47283
12,32-64,0.9078,0.8963,0.0085,0.7637,6098,5536,14200
12,64-128,0.9409,0.9351,0.0079,0.875,1743,1640,3161
12,128-9999,0.9583,0.9451,0.0041,0.8628,144,138,983
13,0-8,0.5036,0.6369,0.0826,0.1639,6382,3214,21247
13,8-16,0.7135,0.7116,0.0432,0.269,10958,7819,51702
13,16-32,0.7912,0.7898,0.0233,0.4148,13434,10629,43480
13,32-64,0.8942,0.8951,0.0089,0.8105,6098,5453,11418
13,64-128,0.9409,0.9324,0.0071,0.894,1743,1640,2945
13,128-9999,0.9583,0.9434,0.0028,0.8528,144,138,1089
14,0-8,0.5108,0.6383,0.0801,0.1871,6382,3260,22692
14,8-16,0.7156,0.7101,0.0433,0.2925,10958,7842,50394
14,16-32,0.7981,0.7914,0.023,0.4321,13434,10722,42404
14,32-64,0.9047,0.8957,0.0101,0.7905,6098,5517,12028
14,64-128,0.9421,0.9396,0.0095,0.8853,1743,1642,2834
14,128-9999,0.9514,0.9488,0.0045,0.811,144,137,672
