epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,389.3,2.59942,4.36042,0.00363,0.38087,0.14701,0.08016,0.03955,1.93351,2.63764,0.0035,0.0099784,0.00332613,0.0099784,0.00332613,0.0099784,0.00332613,0.0099784,0.00332613
2,709.941,2.05702,3.20156,0.00245,0.34718,0.2047,0.16146,0.08866,1.78525,2.18276,0.00307,0.0197806,0.00659354,0.0197806,0.00659354,0.0197806,0.00659354,0.0197806,0.00659354
3,1020.65,1.99543,2.8608,0.00229,0.28713,0.2541,0.20953,0.11724,1.8003,2.05698,0.00307,0.0293848,0.00979494,0.0293848,0.00979494,0.0293848,0.00979494,0.0293848,0.00979494
4,1326.43,1.93475,2.5428,0.00217,0.33448,0.29134,0.25622,0.14905,1.68183,1.91308,0.00281,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1633.39,1.87547,2.28165,0.00209,0.37532,0.32248,0.28925,0.17097,1.65177,1.83797,0.00274,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1931.7,1.84195,2.10293,0.00203,0.37097,0.3305,0.29633,0.17695,1.65136,1.81276,0.00274,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2232.32,1.82088,1.98183,0.00199,0.40973,0.35046,0.32757,0.19582,1.66582,1.71716,0.0027,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2533.15,1.80061,1.89199,0.00195,0.42304,0.36122,0.3407,0.20466,1.64836,1.72439,0.00267,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2838.43,1.80824,1.84104,0.00191,0.41419,0.35804,0.33624,0.20551,1.63286,1.70095,0.00264,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,3140.89,1.79259,1.79318,0.0019,0.42322,0.3848,0.36078,0.22005,1.63182,1.65755,0.00263,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,3447.01,1.78903,1.75337,0.00188,0.4311,0.37499,0.36274,0.2218,1.61592,1.64096,0.00261,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3754.17,1.77283,1.72795,0.00186,0.45773,0.3945,0.37633,0.22957,1.61187,1.59156,0.00259,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,4064.18,1.76223,1.69329,0.00186,0.45608,0.39042,0.38321,0.23352,1.61091,1.59896,0.00258,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,4378.77,1.75652,1.66954,0.00183,0.45792,0.40438,0.38656,0.23551,1.59594,1.58635,0.00258,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,4689.37,1.75461,1.65037,0.00183,0.46429,0.39923,0.39027,0.24043,1.59813,1.56589,0.00255,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,5001.25,1.73835,1.6243,0.00183,0.48414,0.39631,0.39932,0.24385,1.59906,1.55496,0.00257,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,5312.18,1.74426,1.61372,0.0018,0.46534,0.4115,0.40117,0.24529,1.59449,1.53472,0.00254,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,5618.23,1.74048,1.60544,0.0018,0.46952,0.41109,0.40625,0.24817,1.59264,1.53512,0.00256,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,5923.59,1.73042,1.58408,0.0018,0.48726,0.42016,0.41662,0.25476,1.58453,1.51549,0.00254,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,6230.13,1.72317,1.5699,0.00181,0.4872,0.41363,0.41576,0.25706,1.57925,1.53492,0.00252,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,6535.77,1.72775,1.56029,0.00178,0.49349,0.41479,0.41958,0.26011,1.58355,1.49908,0.00252,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,6840.35,1.71557,1.54013,0.00177,0.50015,0.41993,0.42195,0.25952,1.59373,1.49542,0.00256,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,7147.1,1.71522,1.53299,0.00177,0.5052,0.42324,0.43061,0.26486,1.57925,1.46711,0.0025,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,7452.79,1.71262,1.51709,0.00176,0.50338,0.42541,0.43285,0.26674,1.58648,1.46876,0.00253,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,7757.23,1.70368,1.51211,0.00176,0.50705,0.42374,0.43053,0.26634,1.58773,1.47085,0.00251,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,8065.21,1.7114,1.51321,0.00176,0.52748,0.43262,0.43905,0.26974,1.58218,1.45878,0.00251,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,8373.6,1.70759,1.50558,0.00173,0.51749,0.4269,0.43979,0.27225,1.57594,1.45196,0.00249,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,8680.98,1.69693,1.48426,0.00175,0.51625,0.43298,0.44195,0.27252,1.57971,1.4411,0.0025,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,8989.43,1.69351,1.47527,0.00174,0.5274,0.42741,0.44316,0.27224,1.58373,1.44433,0.00252,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,9293.25,1.70287,1.48192,0.00173,0.52525,0.42867,0.44824,0.27587,1.57982,1.43411,0.0025,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,9600.41,1.68582,1.47002,0.00174,0.52291,0.43405,0.44528,0.27631,1.57233,1.42899,0.00249,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,9907.51,1.69241,1.46062,0.00172,0.52421,0.43832,0.44958,0.27829,1.57514,1.42254,0.0025,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,10215.8,1.68563,1.45,0.00171,0.52142,0.44087,0.45144,0.2794,1.57395,1.41589,0.00249,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,10521.8,1.68248,1.44399,0.00172,0.53256,0.44173,0.45341,0.28066,1.57515,1.4193,0.00249,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,10829.2,1.68449,1.43827,0.00171,0.54231,0.43925,0.45818,0.28503,1.56778,1.41087,0.00248,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,11140.7,1.68435,1.43643,0.00172,0.53288,0.4444,0.45369,0.28158,1.56783,1.42024,0.00247,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,11449.5,1.67714,1.42348,0.00169,0.52427,0.44928,0.45633,0.28231,1.57344,1.40898,0.00248,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,11758.2,1.67942,1.42477,0.00172,0.53642,0.44694,0.46187,0.28671,1.56912,1.40202,0.00247,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,12066.8,1.67905,1.41815,0.0017,0.53504,0.44648,0.46126,0.28579,1.56321,1.39443,0.00246,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,12374.4,1.67506,1.41143,0.00169,0.5429,0.43913,0.46089,0.28513,1.56487,1.39161,0.00246,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,12686,1.66544,1.39819,0.00169,0.5393,0.44935,0.46368,0.28788,1.56568,1.39339,0.00247,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
