epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,314.888,2.69483,4.46704,0.00385,0.28703,0.13782,0.08221,0.0376,2.04698,2.64493,0.00381,0.000237486,0.000237486,0.000237486
2,598.797,2.10004,3.14723,0.00253,0.39002,0.18879,0.14312,0.07768,1.81977,2.27108,0.00319,0.000466071,0.000466071,0.000466071
3,883.83,2.01465,2.77097,0.00233,0.27622,0.2038,0.17407,0.09784,1.79603,2.13762,0.0031,0.000685232,0.000685232,0.000685232
4,1168.65,1.95896,2.49288,0.00223,0.32363,0.23916,0.19586,0.1148,1.71947,2.04001,0.00291,0.000671588,0.000671588,0.000671588
5,1451.26,1.9157,2.30967,0.00218,0.35246,0.26426,0.21661,0.12705,1.69662,1.97509,0.00285,0.000657451,0.000657451,0.000657451
6,1733.45,1.90047,2.19999,0.00216,0.31819,0.28929,0.24551,0.14359,1.70893,1.91491,0.00287,0.000643314,0.000643314,0.000643314
7,2015.15,1.88277,2.10741,0.00211,0.34831,0.30178,0.26369,0.15165,1.72891,1.90327,0.00293,0.000629177,0.000629177,0.000629177
8,2296.81,1.8679,2.04073,0.00208,0.35341,0.31985,0.27749,0.16386,1.70649,1.82615,0.00282,0.00061504,0.00061504,0.00061504
9,2585.85,1.87922,2.00283,0.00204,0.35874,0.32864,0.28793,0.16649,1.68572,1.82989,0.0028,0.000600902,0.000600902,0.000600902
10,2873.09,1.85703,1.94905,0.00203,0.37255,0.33517,0.30085,0.17115,1.71089,1.80011,0.00285,0.000586765,0.000586765,0.000586765
11,3159.95,1.85236,1.91948,0.002,0.37005,0.34656,0.30617,0.18108,1.68029,1.76789,0.00278,0.000572628,0.000572628,0.000572628
12,3443.6,1.83952,1.89227,0.00199,0.38886,0.35139,0.31605,0.18901,1.65464,1.73329,0.00271,0.000558491,0.000558491,0.000558491
13,3724.39,1.82519,1.85901,0.00198,0.39156,0.35927,0.32351,0.19183,1.66825,1.72523,0.00274,0.000544354,0.000544354,0.000544354
14,4009.93,1.81612,1.8331,0.00194,0.39662,0.36017,0.33218,0.19862,1.6448,1.72126,0.00271,0.000530216,0.000530216,0.000530216
15,4294.25,1.81468,1.81306,0.00194,0.40273,0.36509,0.33273,0.19944,1.65548,1.70926,0.00271,0.000516079,0.000516079,0.000516079
16,4574.82,1.79456,1.78071,0.00194,0.42659,0.36199,0.34521,0.20716,1.6507,1.67396,0.00268,0.000501942,0.000501942,0.000501942
17,4860.6,1.80177,1.76716,0.0019,0.4155,0.37574,0.3498,0.21121,1.64196,1.66005,0.00266,0.000487805,0.000487805,0.000487805
18,5141.43,1.80199,1.76071,0.00191,0.4283,0.37333,0.35471,0.21405,1.63117,1.65104,0.00264,0.000473668,0.000473668,0.000473668
19,5426.6,1.78322,1.73621,0.0019,0.44601,0.36731,0.35494,0.21432,1.6425,1.64086,0.00269,0.00045953,0.00045953,0.00045953
20,5709.62,1.78042,1.71815,0.00191,0.43137,0.37807,0.36152,0.21748,1.6353,1.65304,0.00265,0.000445393,0.000445393,0.000445393
21,5992.26,1.77853,1.70884,0.00187,0.4391,0.38108,0.36421,0.2222,1.6229,1.62123,0.00262,0.000431256,0.000431256,0.000431256
22,6272.92,1.76609,1.68744,0.00186,0.4399,0.38595,0.36999,0.22254,1.633,1.61481,0.00265,0.000417119,0.000417119,0.000417119
23,6558.34,1.76447,1.67808,0.00186,0.44616,0.38922,0.37397,0.22775,1.61926,1.60274,0.00262,0.000402982,0.000402982,0.000402982
24,6838.98,1.76056,1.6603,0.00184,0.4423,0.38807,0.37444,0.22678,1.63352,1.60239,0.00263,0.000388844,0.000388844,0.000388844
25,7120.89,1.74931,1.65211,0.00184,0.44826,0.40152,0.38293,0.23361,1.6139,1.58422,0.00259,0.000374707,0.000374707,0.000374707
