epoch,size_bin,recall_at_05,median_iou,fp_above_tp_median,median_tp_conf,gt_count,tp_count,fp_count
0,0-8,0.2071,0.591,0.239,0.1366,6382,1322,14372
0,8-16,0.4235,0.6293,0.1497,0.1848,10958,4641,53712
0,16-32,0.4575,0.6938,0.108,0.1896,13434,6146,45452
0,32-64,0.6737,0.7974,0.0477,0.3132,6098,4108,20708
0,64-128,0.79,0.8313,0.0302,0.3311,1743,1377,9565
0,128-9999,0.6319,0.7587,0.0169,0.154,144,91,2906
1,0-8,0.3323,0.6154,0.1844,0.1168,6382,2121,18631
1,8-16,0.5062,0.6687,0.117,0.151,10958,5547,50891
1,16-32,0.5662,0.739,0.0774,0.1883,13434,7606,44202
1,32-64,0.7496,0.8402,0.0308,0.4016,6098,4571,21045
1,64-128,0.8336,0.8766,0.0209,0.543,1743,1453,6567
1,128-9999,0.6944,0.814,0.0069,0.215,144,100,1583
2,0-8,0.3635,0.6244,0.1572,0.0947,6382,2320,20127
2,8-16,0.5426,0.6805,0.1098,0.1268,10958,5946,51648
2,16-32,0.5965,0.7475,0.0752,0.1587,13434,8014,41618
2,32-64,0.7794,0.843,0.037,0.4148,6098,4753,20080
2,64-128,0.8686,0.886,0.0161,0.6433,1743,1514,5829
2,128-9999,0.7847,0.8471,0.0119,0.3123,144,113,1932
3,0-8,0.3972,0.6247,0.1379,0.0967,6382,2535,20070
3,8-16,0.5508,0.6884,0.1005,0.1384,10958,6036,49680
3,16-32,0.6254,0.7637,0.0677,0.1699,13434,8402,40685
3,32-64,0.8168,0.8595,0.0258,0.4282,6098,4981,21618
3,64-128,0.8893,0.8986,0.0117,0.6406,1743,1550,6063
3,128-9999,0.875,0.8631,0.0076,0.4088,144,126,2225
4,0-8,0.4127,0.6336,0.1226,0.1136,6382,2634,21567
4,8-16,0.5793,0.6868,0.0889,0.1646,10958,6348,49264
4,16-32,0.65,0.7715,0.0581,0.2186,13434,8732,40355
4,32-64,0.8317,0.8639,0.0267,0.4534,6098,5072,19086
4,64-128,0.9094,0.9044,0.0113,0.5737,1743,1585,6107
4,128-9999,0.8958,0.8786,0.0142,0.3503,144,129,2318
5,0-8,0.417,0.6307,0.1403,0.1045,6382,2661,19940
5,8-16,0.5922,0.6931,0.0829,0.1603,10958,6489,47759
5,16-32,0.6815,0.7726,0.0531,0.2394,13434,9155,41921
5,32-64,0.8557,0.8626,0.0207,0.5254,6098,5218,20328
5,64-128,0.9243,0.9052,0.0115,0.7026,1743,1611,5473
5,128-9999,0.9097,0.8857,0.0164,0.3657,144,131,1218
6,0-8,0.4069,0.6169,0.1175,0.0967,6382,2597,16342
6,8-16,0.6026,0.6796,0.0733,0.155,10958,6603,47560
6,16-32,0.7019,0.7705,0.0481,0.224,13434,9429,47971
6,32-64,0.8493,0.8662,0.0189,0.498,6098,5179,18861
6,64-128,0.9065,0.9075,0.015,0.7266,1743,1580,4145
6,128-9999,0.8681,0.8875,0.0141,0.3123,144,125,1208
7,0-8,0.4196,0.6351,0.1081,0.1176,6382,2678,20228
7,8-16,0.6132,0.6961,0.0767,0.1871,10958,6719,48416
7,16-32,0.7118,0.7751,0.0437,0.2847,13434,9562,42844
7,32-64,0.8708,0.8703,0.0195,0.5688,6098,5310,19280
7,64-128,0.9271,0.9137,0.0125,0.7324,1743,1616,4470
7,128-9999,0.8681,0.8705,0.0126,0.4111,144,125,955
8,0-8,0.4484,0.6307,0.1193,0.106,6382,2862,22500
8,8-16,0.6238,0.6918,0.0736,0.1635,10958,6836,49625
8,16-32,0.7118,0.7718,0.0438,0.2281,13434,9562,41791
8,32-64,0.8652,0.8713,0.0203,0.4824,6098,5276,17218
8,64-128,0.9231,0.9153,0.0133,0.7105,1743,1609,3604
8,128-9999,0.8889,0.8969,0.0054,0.5137,144,128,919
9,0-8,0.4285,0.6261,0.1256,0.0974,6382,2735,18754
9,8-16,0.6289,0.6892,0.0727,0.1614,10958,6892,46027
9,16-32,0.7329,0.7752,0.0422,0.248,13434,9846,45716
9,32-64,0.8786,0.8639,0.0168,0.5215,6098,5358,18818
9,64-128,0.9317,0.9028,0.011,0.7007,1743,1624,4280
9,128-9999,0.9028,0.9076,0.0059,0.5747,144,130,1189
10,0-8,0.4643,0.6294,0.1123,0.109,6382,2963,21351
10,8-16,0.6314,0.6996,0.0689,0.1766,10958,6919,45912
10,16-32,0.7256,0.7821,0.0417,0.2629,13434,9748,42617
10,32-64,0.8783,0.8716,0.0175,0.5488,6098,5356,18665
10,64-128,0.938,0.9165,0.0084,0.7676,1743,1635,4784
10,128-9999,0.9028,0.9051,0.0049,0.5979,144,130,1028
11,0-8,0.4535,0.637,0.1073,0.103,6382,2894,21152
11,8-16,0.6473,0.7027,0.0677,0.171,10958,7093,46581
