epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.048,1.81681,2.66729,0.00197,0.4033,0.3504,0.33594,0.20605,1.67834,1.54206,0.00268,0.000237339,0.000237339,0.000237339
2,335.52,1.77214,1.58088,0.00188,0.47133,0.40234,0.38796,0.23644,1.644,1.41489,0.00268,0.000465927,0.000465927,0.000465927
3,490.64,1.77009,1.4704,0.00186,0.48976,0.40303,0.40105,0.24556,1.64654,1.39341,0.00261,0.000685091,0.000685091,0.000685091
4,643.411,1.73249,1.39653,0.0018,0.50252,0.4412,0.44246,0.26984,1.62194,1.3278,0.00258,0.000671588,0.000671588,0.000671588
5,795.834,1.72569,1.35771,0.00181,0.52311,0.44439,0.45376,0.27874,1.61039,1.30754,0.00258,0.000657451,0.000657451,0.000657451
6,948.006,1.71211,1.32343,0.00178,0.54356,0.4471,0.46178,0.28725,1.61024,1.3213,0.00258,0.000643314,0.000643314,0.000643314
7,1098.95,1.6925,1.29277,0.00176,0.53019,0.45802,0.46976,0.29391,1.59982,1.28835,0.00254,0.000629177,0.000629177,0.000629177
8,1250.72,1.68629,1.26553,0.00174,0.56281,0.45799,0.48427,0.30211,1.59134,1.25526,0.00251,0.00061504,0.00061504,0.00061504
9,1404.31,1.67916,1.24468,0.00172,0.56673,0.47316,0.49391,0.30861,1.58551,1.24751,0.00249,0.000600902,0.000600902,0.000600902
10,1557.28,1.66548,1.22736,0.00171,0.5667,0.46701,0.4816,0.30107,1.58813,1.25433,0.00249,0.000586765,0.000586765,0.000586765
11,1710.69,1.66705,1.21075,0.00169,0.56415,0.47282,0.49594,0.30942,1.57933,1.23168,0.00248,0.000572628,0.000572628,0.000572628
12,1864.54,1.65579,1.19957,0.00168,0.57077,0.48029,0.50265,0.3131,1.58388,1.22341,0.0025,0.000558491,0.000558491,0.000558491
13,2016.66,1.65611,1.19032,0.00169,0.58052,0.48634,0.51262,0.32268,1.57012,1.21848,0.00247,0.000544354,0.000544354,0.000544354
14,2168.94,1.63935,1.17217,0.00168,0.5843,0.48645,0.51542,0.32438,1.57614,1.20051,0.00248,0.000530216,0.000530216,0.000530216
15,2321.35,1.64232,1.1622,0.00166,0.57068,0.49647,0.50902,0.31826,1.56802,1.19936,0.00247,0.000516079,0.000516079,0.000516079
16,2474.58,1.63115,1.15222,0.00165,0.59709,0.47956,0.51214,0.31995,1.563,1.20162,0.00244,0.000501942,0.000501942,0.000501942
17,2627.51,1.63317,1.14183,0.00164,0.58964,0.49203,0.51768,0.32509,1.56916,1.19726,0.00246,0.000487805,0.000487805,0.000487805
18,2781,1.62186,1.11859,0.00164,0.58454,0.49902,0.52371,0.33005,1.55971,1.18615,0.00242,0.000473668,0.000473668,0.000473668
19,2934.18,1.61985,1.11339,0.00161,0.59706,0.49741,0.52389,0.33141,1.5597,1.17608,0.00244,0.00045953,0.00045953,0.00045953
20,3086.88,1.61609,1.11211,0.00162,0.59068,0.49796,0.51924,0.32859,1.55636,1.16404,0.00241,0.000445393,0.000445393,0.000445393
21,3241.18,1.6213,1.10715,0.0016,0.59377,0.4909,0.5216,0.32873,1.5565,1.18038,0.00243,0.000431256,0.000431256,0.000431256
22,3392.99,1.60714,1.09263,0.00161,0.59098,0.50175,0.52664,0.33194,1.56233,1.17056,0.00243,0.000417119,0.000417119,0.000417119
23,3545.86,1.59622,1.08079,0.00158,0.59835,0.51137,0.53448,0.33902,1.54563,1.15662,0.0024,0.000402982,0.000402982,0.000402982
24,3700.41,1.5964,1.07087,0.00158,0.59505,0.50338,0.52821,0.3356,1.55156,1.16316,0.00242,0.000388844,0.000388844,0.000388844
25,3852.4,1.58631,1.0605,0.00158,0.60735,0.50227,0.52977,0.33605,1.56018,1.16724,0.00244,0.000374707,0.000374707,0.000374707
26,4005.76,1.57938,1.0538,0.00156,0.60046,0.50196,0.53265,0.33302,1.56292,1.16019,0.00244,0.00036057,0.00036057,0.00036057
27,4160.66,1.58269,1.0492,0.00156,0.60409,0.51427,0.53785,0.34203,1.54778,1.14529,0.0024,0.000346433,0.000346433,0.000346433
28,4316,1.57875,1.03999,0.00155,0.6026,0.51203,0.53699,0.34108,1.54352,1.14885,0.0024,0.000332296,0.000332296,0.000332296
29,4469.19,1.56987,1.03131,0.00155,0.60087,0.51149,0.54014,0.34105,1.54641,1.15325,0.0024,0.000318158,0.000318158,0.000318158
30,4623.38,1.57344,1.02794,0.00154,0.60317,0.52065,0.54438,0.3466,1.54467,1.14188,0.00241,0.000304021,0.000304021,0.000304021
31,4775.59,1.56146,1.01708,0.00154,0.60557,0.5105,0.54152,0.34383,1.54231,1.14579,0.00239,0.000289884,0.000289884,0.000289884
32,4929.15,1.56608,1.01174,0.00152,0.59536,0.51226,0.53668,0.34029,1.55144,1.14508,0.00242,0.000275747,0.000275747,0.000275747
33,5082.08,1.56241,1.01227,0.00152,0.60674,0.51139,0.53897,0.34204,1.54895,1.1538,0.0024,0.00026161,0.00026161,0.00026161
34,5235.85,1.55249,0.99267,0.00153,0.59563,0.52166,0.54196,0.34224,1.55439,1.14731,0.00242,0.000247472,0.000247472,0.000247472
35,5388.19,1.54548,0.98986,0.00151,0.6115,0.51202,0.54246,0.34208,1.55016,1.14513,0.00242,0.000233335,0.000233335,0.000233335
36,5540.17,1.53864,0.98307,0.00152,0.59866,0.51591,0.53947,0.34153,1.5433,1.14742,0.0024,0.000219198,0.000219198,0.000219198
37,5694.25,1.5423,0.97515,0.00149,0.6136,0.51137,0.54058,0.34131,1.5471,1.14817,0.0024,0.000205061,0.000205061,0.000205061
38,5847.28,1.53124,0.96943,0.00149,0.60507,0.5202,0.5413,0.34385,1.54085,1.14549,0.00239,0.000190924,0.000190924,0.000190924
39,6001.33,1.53579,0.96764,0.00147,0.60266,0.52186,0.54406,0.3454,1.54944,1.14213,0.0024,0.000176786,0.000176786,0.000176786
40,6154.51,1.53347,0.9566,0.00146,0.59477,0.51632,0.54042,0.34254,1.54586,1.1435,0.0024,0.000162649,0.000162649,0.000162649
41,6297.3,1.48576,0.92608,0.00158,0.61002,0.51113,0.54198,0.34356,1.55063,1.14584,0.0024,0.000148512,0.000148512,0.000148512
42,6437.42,1.47069,0.90456,0.00157,0.61109,0.51177,0.53998,0.34207,1.55252,1.14728,0.00241,0.000134375,0.000134375,0.000134375
43,6577.28,1.47204,0.90018,0.00157,0.61201,0.51553,0.54069,0.34181,1.56072,1.14833,0.00242,0.000120238,0.000120238,0.000120238
44,6716.31,1.46422,0.89017,0.00156,0.61117,0.51366,0.54213,0.34389,1.55384,1.15102,0.00242,0.0001061,0.0001061,0.0001061
45,6856.71,1.46532,0.88557,0.00155,0.61274,0.51203,0.54088,0.34344,1.55176,1.14789,0.00241,9.19632e-05,9.19632e-05,9.19632e-05
46,6995.41,1.45591,0.87738,0.00155,0.60786,0.51625,0.54091,0.34256,1.55109,1.15125,0.00242,7.7826e-05,7.7826e-05,7.7826e-05
