epoch,size_bin,recall_at_05,median_iou,fp_above_tp_median,median_tp_conf,gt_count,tp_count,fp_count
0,0-8,0.5132,0.6514,0.1004,0.1078,6382,3275,27009
0,8-16,0.7018,0.7207,0.0445,0.2081,10958,7690,46299
0,16-32,0.7593,0.8062,0.0254,0.3452,13434,10201,37340
0,32-64,0.8634,0.893,0.013,0.5566,6098,5265,16903
0,64-128,0.9266,0.9342,0.0085,0.7339,1743,1615,6085
0,128-9999,0.9167,0.95,0.002,0.4736,144,132,2515
1,0-8,0.5417,0.6494,0.0767,0.1417,6382,3457,20175
1,8-16,0.7311,0.7316,0.037,0.291,10958,8011,45091
1,16-32,0.8141,0.8081,0.0219,0.4844,13434,10937,42507
1,32-64,0.8928,0.8894,0.0103,0.7105,6098,5444,18521
1,64-128,0.9329,0.9349,0.0094,0.8672,1743,1626,4781
1,128-9999,0.9306,0.9395,0.0032,0.7151,144,134,927
2,0-8,0.5425,0.654,0.0845,0.1584,6382,3462,27624
2,8-16,0.7334,0.7257,0.0338,0.3276,10958,8037,44367
2,16-32,0.8132,0.8066,0.0176,0.5098,13434,10924,37650
2,32-64,0.8991,0.8953,0.0085,0.7266,6098,5483,15481
2,64-128,0.9403,0.9387,0.0068,0.8799,1743,1639,4133
2,128-9999,0.9306,0.936,0.0064,0.8105,144,134,629
3,0-8,0.5813,0.6575,0.0719,0.1623,6382,3710,25883
3,8-16,0.7598,0.733,0.0347,0.3074,10958,8326,43715
3,16-32,0.833,0.8106,0.0193,0.4629,13434,11190,37724
3,32-64,0.9165,0.895,0.008,0.6655,6098,5589,16476
3,64-128,0.9518,0.9381,0.0042,0.8257,1743,1659,4284
3,128-9999,0.9306,0.9494,0.0054,0.7644,144,134,553
4,0-8,0.6073,0.6594,0.0605,0.1981,6382,3876,29175
4,8-16,0.7654,0.735,0.0311,0.3611,10958,8387,43725
4,16-32,0.8308,0.8146,0.0198,0.5488,13434,11161,35026
4,32-64,0.9147,0.8964,0.0087,0.769,6098,5578,14808
4,64-128,0.9478,0.9245,0.0079,0.856,1743,1652,3552
4,128-9999,0.9306,0.9377,0.0045,0.7234,144,134,893
5,0-8,0.5884,0.6574,0.0549,0.1877,6382,3755,35665
5,8-16,0.7589,0.733,0.0286,0.3648,10958,8316,41126
5,16-32,0.8293,0.8142,0.017,0.5449,13434,11141,36580
5,32-64,0.9146,0.8985,0.0092,0.749,6098,5577,13192
5,64-128,0.9432,0.9375,0.0071,0.8833,1743,1644,2970
5,128-9999,0.9444,0.9361,0.0045,0.8626,144,136,665
6,0-8,0.5906,0.6596,0.0628,0.1755,6382,3769,25306
6,8-16,0.7634,0.7362,0.0321,0.3452,10958,8365,44501
6,16-32,0.8337,0.8151,0.0163,0.5469,13434,11200,37485
6,32-64,0.9157,0.8995,0.0084,0.8008,6098,5584,14846
6,64-128,0.9507,0.9393,0.0062,0.9038,1743,1657,3543
6,128-9999,0.9583,0.9475,0.001,0.864,144,138,1013
7,0-8,0.584,0.6541,0.0515,0.1859,6382,3727,22902
7,8-16,0.7757,0.7383,0.0287,0.3567,10958,8500,44940
7,16-32,0.8519,0.8154,0.0173,0.5273,13434,11444,40854
7,32-64,0.9267,0.9016,0.0094,0.7476,6098,5651,13920
7,64-128,0.9581,0.938,0.0077,0.8789,1743,1670,2989
7,128-9999,0.9514,0.9365,0.0016,0.8872,144,137,620
8,0-8,0.6006,0.655,0.0579,0.1931,6382,3833,24722
8,8-16,0.7768,0.7369,0.0266,0.3667,10958,8512,46655
8,16-32,0.8471,0.8175,0.015,0.541,13434,11380,38047
8,32-64,0.9275,0.9012,0.0077,0.7812,6098,5656,12917
8,64-128,0.9587,0.9367,0.0057,0.8882,1743,1671,3134
8,128-9999,0.9792,0.939,0.0034,0.8223,144,141,595
9,0-8,0.6105,0.6605,0.0603,0.1943,6382,3896,29317
9,8-16,0.7785,0.7361,0.0265,0.3594,10958,8531,46293
9,16-32,0.849,0.8164,0.0156,0.5581,13434,11406,35486
9,32-64,0.9236,0.9019,0.0076,0.8164,6098,5632,13318
9,64-128,0.9426,0.9429,0.008,0.915,1743,1643,3018
9,128-9999,0.9653,0.9388,0.0036,0.8603,144,139,559
10,0-8,0.6177,0.6566,0.056,0.1907,6382,3942,28530
10,8-16,0.7822,0.7348,0.0264,0.3557,10958,8571,43117
10,16-32,0.8551,0.815,0.0151,0.5391,13434,11488,36546
10,32-64,0.9244,0.9025,0.0064,0.793,6098,5637,14121
10,64-128,0.953,0.9415,0.0068,0.8882,1743,1661,2941
10,128-9999,0.9653,0.944,0.0041,0.835,144,139,729
11,0-8,0.6111,0.6542,0.0505,0.1907,6382,3900,28548
11,8-16,0.7827,0.7351,0.0238,0.354,10958,8577,43424
11,16-32,0.8555,0.8176,0.015,0.5581,13434,11493,35560
11,32-64,0.9352,0.9023,0.006,0.8066,6098,5703,14911
11,64-128,0.9564,0.9408,0.0078,0.8999,1743,1667,3064
11,128-9999,0.9583,0.9421,0.0031,0.8855,144,138,641
12,0-8,0.6326,0.6635,0.0538,0.2069,6382,4037,29981
12,8-16,0.7857,0.7378,0.0227,0.3943,10958,8610,45177
12,16-32,0.8548,0.8181,0.0149,0.5928,13434,11484,35843
12,32-64,0.9265,0.9032,0.0079,0.8242,6098,5650,12114
12,64-128,0.9604,0.9406,0.0071,0.9097,1743,1674,2829
12,128-9999,0.9722,0.9429,0.0048,0.8755,144,140,625
13,0-8,0.6147,0.6614,0.0591,0.1688,6382,3923,23639
13,8-16,0.7928,0.7372,0.0239,0.3503,10958,8687,44591
13,16-32,0.8694,0.8166,0.0131,0.5737,13434,11680,39242
13,32-64,0.9382,0.9017,0.0066,0.8081,6098,5721,14346
13,64-128,0.9581,0.9379,0.0063,0.894,1743,1670,3006
13,128-9999,0.9653,0.9382,0.007,0.8633,144,139,570
14,0-8,0.6138,0.6615,0.0532,0.1733,6382,3917,23867
14,8-16,0.7999,0.7386,0.0227,0.363,10958,8765,46276
14,16-32,0.8678,0.8195,0.0138,0.5757,13434,11658,38083
14,32-64,0.9356,0.9021,0.0081,0.8154,6098,5705,13039
14,64-128,0.9558,0.9402,0.0072,0.8965,1743,1666,2769
14,128-9999,0.9722,0.9381,0.0067,0.8391,144,140,750
15,0-8,0.6426,0.6629,0.0469,0.2161,6382,4101,28003
15,8-16,0.7984,0.7401,0.0227,0.4055,10958,8749,47594
15,16-32,0.8549,0.819,0.0164,0.5737,13434,11485,33514
15,32-64,0.9292,0.9033,0.0088,0.8008,6098,5666,11491
15,64-128,0.9541,0.9433,0.0076,0.9033,1743,1663,2639
15,128-9999,0.9583,0.9432,0.0039,0.8811,144,138,517
16,0-8,0.6399,0.6642,0.0522,0.2154,6382,4084,29519
16,8-16,0.794,0.7389,0.0226,0.4092,10958,8701,46353
16,16-32,0.8557,0.82,0.0138,0.6133,13434,11495,34635
16,32-64,0.9283,0.9033,0.0101,0.814,6098,5661,10861
16,64-128,0.9507,0.9426,0.0076,0.897,1743,1657,2485
16,128-9999,0.9583,0.9412,0.0062,0.9041,144,138,809
17,0-8,0.6221,0.6656,0.0508,0.2069,6382,3970,26692
17,8-16,0.7974,0.7394,0.0215,0.4226,10958,8738,45185
17,16-32,0.8618,0.8202,0.0132,0.6113,13434,11577,36100
17,32-64,0.9326,0.9035,0.0091,0.8198,6098,5687,12475
17,64-128,0.9587,0.9439,0.0085,0.8931,1743,1671,2956
17,128-9999,0.9583,0.9429,0.0033,0.8892,144,138,615
18,0-8,0.6365,0.6626,0.048,0.1931,6382,4062,26590
18,8-16,0.7981,0.743,0.0212,0.3887,10958,8746,44803
18,16-32,0.8653,0.8205,0.0133,0.5981,13434,11624,35624
18,32-64,0.9318,0.9009,0.0083,0.8018,6098,5682,12636
18,64-128,0.9604,0.9412,0.0095,0.8931,1743,1674,2751
18,128-9999,0.9722,0.9481,0.0061,0.8799,144,140,490
19,0-8,0.6437,0.6653,0.0474,0.2044,6382,4108,28275
19,8-16,0.8093,0.7451,0.0217,0.4055,10958,8868,48991
19,16-32,0.8652,0.8217,0.0151,0.606,13434,11623,33121
19,32-64,0.931,0.906,0.0093,0.8198,6098,5677,11168
19,64-128,0.9501,0.9446,0.0105,0.9092,1743,1656,2383
19,128-9999,0.9444,0.9504,0.0021,0.8933,144,136,468
20,0-8,0.6445,0.6694,0.0585,0.2069,6382,4113,30262
20,8-16,0.7992,0.7426,0.0241,0.4092,10958,8758,44304
20,16-32,0.8624,0.8198,0.0151,0.626,13434,11585,32952
20,32-64,0.9324,0.904,0.0086,0.8389,6098,5686,12755
20,64-128,0.961,0.9437,0.0084,0.894,1743,1675,2487
20,128-9999,0.9583,0.9413,0.0064,0.8787,144,138,471
21,0-8,0.6412,0.6631,0.0469,0.1907,6382,4092,29812
21,8-16,0.8025,0.7409,0.0214,0.3943,10958,8794,44831
21,16-32,0.8674,0.819,0.014,0.6226,13434,11652,35242
21,32-64,0.9296,0.9047,0.0096,0.8355,6098,5669,10683
21,64-128,0.9564,0.9427,0.0076,0.8916,1743,1667,2357
21,128-9999,0.9653,0.9435,0.0072,0.8501,144,139,414
22,0-8,0.6509,0.6645,0.0469,0.2275,6382,4154,28584
22,8-16,0.8105,0.741,0.0218,0.4243,10958,8881,46212
22,16-32,0.8717,0.822,0.0136,0.6318,13434,11710,34714
22,32-64,0.9329,0.9055,0.0095,0.831,6098,5689,11037
22,64-128,0.9552,0.9433,0.0075,0.8916,1743,1665,2394
22,128-9999,0.9792,0.9517,0.002,0.8882,144,141,504
23,0-8,0.641,0.6665,0.0464,0.1956,6382,4091,25337
23,8-16,0.8089,0.7413,0.0216,0.397,10958,8864,47452
23,16-32,0.8679,0.8202,0.0145,0.6279,13434,11660,36505
23,32-64,0.9329,0.9048,0.0087,0.8335,6098,5689,12102
23,64-128,0.9558,0.9429,0.0069,0.8965,1743,1666,2625
23,128-9999,0.9583,0.9488,0.004,0.8916,144,138,497
24,0-8,0.6493,0.6646,0.0521,0.2044,6382,4144,27265
24,8-16,0.8073,0.7403,0.0212,0.398,10958,8846,47528
24,16-32,0.8633,0.8201,0.015,0.6113,13434,11597,33352
24,32-64,0.9321,0.9031,0.0103,0.832,6098,5684,11313
24,64-128,0.9547,0.9415,0.0075,0.9145,1743,1664,2543
24,128-9999,0.9514,0.9516,0.0024,0.9175,144,137,412
25,0-8,0.6407,0.6618,0.0445,0.22,6382,4089,26690
25,8-16,0.8093,0.7398,0.0209,0.4148,10958,8868,45062
25,16-32,0.8707,0.8195,0.0135,0.6226,13434,11697,36175
25,32-64,0.9323,0.9034,0.0089,0.8428,6098,5685,12060
25,64-128,0.9507,0.9443,0.0095,0.9067,1743,1657,2316
25,128-9999,0.9653,0.9467,0.0065,0.9038,144,139,460
26,0-8,0.6626,0.6688,0.0453,0.2108,6382,4229,29956
26,8-16,0.8104,0.744,0.0206,0.4111,10958,8880,45899
26,16-32,0.8702,0.8218,0.0151,0.6318,13434,11690,33951
26,32-64,0.9352,0.9064,0.0088,0.8428,6098,5703,11359
26,64-128,0.9564,0.9452,0.0072,0.9131,1743,1667,2078
26,128-9999,0.9722,0.9516,0.0023,0.894,144,140,429
27,0-8,0.6467,0.6684,0.0476,0.2095,6382,4127,26788
27,8-16,0.8163,0.7463,0.0205,0.4243,10958,8945,48779
27,16-32,0.8722,0.8209,0.0142,0.6406,13434,11717,36549
27,32-64,0.93,0.9044,0.0099,0.855,6098,5671,10154
27,64-128,0.9507,0.9441,0.011,0.9287,1743,1657,1810
27,128-9999,0.9722,0.9511,0.0,0.9263,144,140,308
28,0-8,0.6573,0.6646,0.0503,0.2295,6382,4195,28962
28,8-16,0.813,0.7403,0.0186,0.4397,10958,8909,47415
28,16-32,0.8671,0.8221,0.0131,0.6372,13434,11649,34272
28,32-64,0.9293,0.9062,0.0103,0.8418,6098,5667,10243
28,64-128,0.953,0.9445,0.0082,0.9019,1743,1661,1962
28,128-9999,0.9722,0.9483,0.0045,0.8984,144,140,446
29,0-8,0.6487,0.667,0.0429,0.2147,6382,4140,27100
29,8-16,0.8151,0.7452,0.0196,0.4456,10958,8932,48684
29,16-32,0.8733,0.8232,0.0134,0.6773,13434,11732,34513
29,32-64,0.9308,0.9053,0.0108,0.8579,6098,5676,9661
29,64-128,0.9541,0.9445,0.0085,0.9111,1743,1663,1893
29,128-9999,0.9514,0.9531,0.0026,0.9097,144,137,386
30,0-8,0.6661,0.6713,0.0466,0.2268,6382,4251,30643
30,8-16,0.8116,0.7464,0.0194,0.4321,10958,8894,46122
30,16-32,0.8694,0.8224,0.0141,0.6494,13434,11680,33185
30,32-64,0.9267,0.9063,0.0105,0.8491,6098,5651,9911
30,64-128,0.9507,0.9462,0.0096,0.916,1743,1657,1875
30,128-9999,0.9514,0.9529,0.0,0.9165,144,137,291
31,0-8,0.6579,0.6666,0.0421,0.2268,6382,4199,28798
31,8-16,0.8136,0.7438,0.0189,0.4397,10958,8915,48216
31,16-32,0.8723,0.8216,0.0145,0.6533,13434,11719,33097
31,32-64,0.928,0.9038,0.0103,0.8457,6098,5659,9838
31,64-128,0.9443,0.9435,0.0139,0.9131,1743,1646,1805
31,128-9999,0.9653,0.954,0.0055,0.918,144,139,361
32,0-8,0.6606,0.6693,0.0442,0.2394,6382,4216,28727
32,8-16,0.8097,0.7446,0.0182,0.4629,10958,8873,48769
32,16-32,0.8675,0.8223,0.0144,0.6758,13434,11654,33085
32,32-64,0.9237,0.9058,0.0112,0.8599,6098,5633,9584
32,64-128,0.9461,0.9452,0.0103,0.9155,1743,1649,1941
32,128-9999,0.9583,0.9521,0.0027,0.9192,144,138,364
33,0-8,0.6449,0.6631,0.0407,0.2323,6382,4116,25495
33,8-16,0.8161,0.7428,0.0195,0.4648,10958,8943,47394
33,16-32,0.8753,0.8206,0.0126,0.6826,13434,11759,35291
33,32-64,0.9288,0.9028,0.0103,0.8603,6098,5664,10409
33,64-128,0.9518,0.9432,0.0115,0.9106,1743,1659,1998
33,128-9999,0.9444,0.9531,0.0096,0.9275,144,136,418
34,0-8,0.6536,0.6697,0.0412,0.224,6382,4171,26633
34,8-16,0.8149,0.7442,0.0198,0.4504,10958,8930,46825
34,16-32,0.8733,0.8214,0.0129,0.6807,13434,11732,35313
34,32-64,0.929,0.9032,0.0124,0.855,6098,5665,10506
34,64-128,0.9524,0.943,0.0087,0.9087,1743,1660,2061
34,128-9999,0.9653,0.9496,0.0053,0.9165,144,139,377
35,0-8,0.6528,0.6684,0.0452,0.231,6382,4166,26614
35,8-16,0.815,0.745,0.02,0.4629,10958,8931,47725
