epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,396.232,2.38486,4.05222,0.00331,0.27853,0.20956,0.14306,0.07452,1.77119,2.21826,0.00312,0.00998609,0.0033287,0.00998609,0.0033287,0.00998609,0.0033287,0.00998609,0.0033287
2,746.559,1.92323,2.8562,0.00228,0.3216,0.29971,0.24835,0.14232,1.66884,1.90592,0.00292,0.0197882,0.00659608,0.0197882,0.00659608,0.0197882,0.00659608,0.0197882,0.00659608
3,1088.59,1.87441,2.51438,0.00215,0.37283,0.32279,0.29258,0.17107,1.64985,1.7954,0.00282,0.0293924,0.00979746,0.0293924,0.00979746,0.0293924,0.00979746,0.0293924,0.00979746
4,1429.54,1.82954,2.21099,0.00205,0.43505,0.3754,0.36044,0.21753,1.59636,1.6477,0.00266,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1771.32,1.77128,1.94732,0.00195,0.44616,0.39412,0.37382,0.22531,1.58091,1.58459,0.00261,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2114.26,1.74059,1.77955,0.00189,0.48636,0.41764,0.41503,0.25298,1.56687,1.50238,0.00255,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2448.96,1.71873,1.66755,0.00185,0.51382,0.431,0.43244,0.26811,1.55829,1.48092,0.00253,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2787.81,1.70373,1.59662,0.00181,0.51955,0.44325,0.44976,0.27835,1.54783,1.43317,0.00252,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,3128.96,1.69554,1.54321,0.00177,0.5212,0.44803,0.45501,0.28202,1.53252,1.44531,0.00248,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,3468.14,1.67749,1.5007,0.00176,0.54382,0.45398,0.46821,0.29036,1.52156,1.37712,0.00244,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,3807.78,1.67902,1.47229,0.00174,0.53668,0.46324,0.47031,0.29047,1.52785,1.37563,0.00246,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,4146.5,1.66233,1.4393,0.00172,0.54238,0.4572,0.47308,0.29271,1.52445,1.38296,0.00244,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,4480.2,1.65172,1.41462,0.00172,0.55239,0.46816,0.4856,0.3007,1.52969,1.36394,0.00246,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,4820.64,1.64593,1.39291,0.00171,0.56759,0.46946,0.48808,0.30489,1.5227,1.32435,0.00244,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,5158.8,1.63728,1.36114,0.00168,0.57198,0.46865,0.49208,0.30781,1.5138,1.31886,0.00242,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,5501.41,1.63543,1.35568,0.00168,0.56422,0.47896,0.49418,0.31132,1.5037,1.30844,0.00239,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,5844.05,1.62953,1.33867,0.00165,0.58092,0.47708,0.50033,0.31377,1.50143,1.31051,0.00238,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,6186.26,1.62128,1.32588,0.00166,0.5765,0.48106,0.50384,0.31478,1.51438,1.2859,0.0024,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,6531.82,1.61622,1.30623,0.00164,0.57864,0.47633,0.49903,0.3126,1.51407,1.305,0.00241,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,6873.45,1.59824,1.28501,0.00164,0.58897,0.49024,0.51539,0.32379,1.49803,1.29013,0.00237,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,7216.21,1.60782,1.28125,0.00163,0.59545,0.48594,0.51512,0.3223,1.50565,1.27175,0.00237,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,7555,1.60066,1.2724,0.00162,0.5941,0.4906,0.51625,0.32103,1.51685,1.26801,0.00241,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,7895.48,1.59503,1.25543,0.00161,0.58831,0.49895,0.51713,0.32542,1.49895,1.26529,0.00237,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,8239.37,1.59859,1.25056,0.00161,0.59046,0.48955,0.51426,0.32057,1.50651,1.2641,0.00238,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,8579.65,1.59278,1.24151,0.0016,0.58902,0.49835,0.52016,0.32643,1.49091,1.25155,0.00234,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,8918.97,1.57903,1.21708,0.0016,0.5859,0.50216,0.51944,0.32685,1.49862,1.25207,0.00235,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,9257.03,1.58108,1.21369,0.00158,0.59902,0.50257,0.52462,0.32909,1.49469,1.24264,0.00236,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,9595.95,1.5794,1.20134,0.00158,0.59919,0.49118,0.52109,0.32823,1.48884,1.24271,0.00235,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,9931.95,1.5688,1.19609,0.00158,0.60039,0.49598,0.52187,0.32878,1.49372,1.25072,0.00236,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,10268.8,1.56486,1.1861,0.00156,0.58785,0.50683,0.52941,0.33058,1.5012,1.23,0.00237,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,10609.9,1.56513,1.18109,0.00158,0.59076,0.51408,0.53556,0.33725,1.49358,1.21347,0.00234,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,10948.2,1.56265,1.17515,0.00155,0.59231,0.50358,0.53365,0.33892,1.48759,1.2229,0.00233,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,11290.9,1.56764,1.17059,0.00155,0.6023,0.50237,0.53234,0.33752,1.48432,1.22763,0.00233,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,11626.4,1.54595,1.14707,0.00156,0.59902,0.5082,0.53425,0.3396,1.48798,1.21693,0.00233,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,11967,1.5502,1.14709,0.00154,0.59644,0.51424,0.5361,0.33895,1.49181,1.21573,0.00234,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,12305.7,1.55014,1.14595,0.00155,0.60652,0.50117,0.53466,0.33659,1.49902,1.20974,0.00235,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,12647.9,1.54922,1.1318,0.00153,0.60732,0.50217,0.53356,0.33881,1.48752,1.21675,0.00232,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
