epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,348.269,2.40446,3.8898,0.00331,0.26709,0.19325,0.1486,0.07824,1.75076,2.15781,0.00305,0.000237669,0.000237669,0.000237669
2,675.374,1.90532,2.58998,0.00223,0.41074,0.27846,0.23707,0.1328,1.70237,1.88521,0.00304,0.000466251,0.000466251,0.000466251
3,1000.57,1.84977,2.17271,0.0021,0.37096,0.34578,0.3035,0.17861,1.65234,1.73337,0.0028,0.000685408,0.000685408,0.000685408
4,1326.03,1.82691,1.93962,0.00205,0.42094,0.37307,0.34262,0.20311,1.63146,1.66352,0.00278,0.000671588,0.000671588,0.000671588
5,1652,1.79234,1.79855,0.00199,0.42334,0.39333,0.35928,0.20972,1.68117,1.61007,0.0028,0.000657451,0.000657451,0.000657451
6,1978.5,1.76923,1.71039,0.00195,0.47594,0.39864,0.39384,0.23575,1.61752,1.54365,0.00268,0.000643314,0.000643314,0.000643314
7,2302.01,1.751,1.64262,0.00192,0.4779,0.42681,0.40561,0.24408,1.59893,1.51772,0.00265,0.000629177,0.000629177,0.000629177
8,2627.98,1.74014,1.59362,0.00188,0.49188,0.41872,0.41674,0.25459,1.59645,1.48228,0.0026,0.00061504,0.00061504,0.00061504
9,2956.38,1.72988,1.55254,0.00184,0.50946,0.42171,0.42559,0.26118,1.55918,1.45297,0.00257,0.000600902,0.000600902,0.000600902
10,3281.32,1.71844,1.52688,0.00184,0.50433,0.44061,0.44049,0.27088,1.54935,1.4224,0.00252,0.000586765,0.000586765,0.000586765
11,3609.21,1.71303,1.50286,0.0018,0.52119,0.44795,0.45112,0.27639,1.55836,1.39936,0.00251,0.000572628,0.000572628,0.000572628
12,3935.19,1.69677,1.47601,0.00179,0.52697,0.45361,0.45649,0.27975,1.55065,1.40374,0.00251,0.000558491,0.000558491,0.000558491
13,4256.1,1.68374,1.45257,0.00178,0.54344,0.45621,0.46631,0.28772,1.55033,1.38019,0.00252,0.000544354,0.000544354,0.000544354
14,4583.01,1.67963,1.42983,0.00177,0.52565,0.45437,0.45511,0.28251,1.54296,1.37702,0.00249,0.000530216,0.000530216,0.000530216
15,4907.73,1.6658,1.40537,0.00174,0.53975,0.46571,0.46978,0.2922,1.5476,1.37051,0.00248,0.000516079,0.000516079,0.000516079
16,5234.56,1.66757,1.40859,0.00174,0.54894,0.46811,0.4813,0.29865,1.53537,1.34516,0.00247,0.000501942,0.000501942,0.000501942
17,5559.98,1.65478,1.38641,0.0017,0.55959,0.47254,0.48837,0.3046,1.54,1.33666,0.00247,0.000487805,0.000487805,0.000487805
18,5884.73,1.64926,1.36911,0.00171,0.57124,0.47189,0.49462,0.31018,1.52127,1.32096,0.00242,0.000473668,0.000473668,0.000473668
19,6209.98,1.64454,1.35431,0.00169,0.57164,0.47863,0.49613,0.30797,1.53342,1.31871,0.00246,0.00045953,0.00045953,0.00045953
20,6533.17,1.62158,1.33115,0.00168,0.57693,0.47899,0.50006,0.30985,1.534,1.31653,0.00245,0.000445393,0.000445393,0.000445393
21,6858.57,1.63285,1.32566,0.00168,0.57896,0.47632,0.49929,0.31249,1.52366,1.30241,0.00242,0.000431256,0.000431256,0.000431256
22,7183.74,1.62024,1.32001,0.00166,0.58438,0.47535,0.50385,0.31559,1.52648,1.30246,0.00243,0.000417119,0.000417119,0.000417119
23,7510.33,1.61646,1.30123,0.00165,0.58624,0.4802,0.50967,0.32079,1.51208,1.28646,0.00239,0.000402982,0.000402982,0.000402982
24,7838.46,1.61803,1.29573,0.00164,0.57612,0.48576,0.50559,0.31563,1.52579,1.2909,0.00243,0.000388844,0.000388844,0.000388844
25,8167.66,1.61221,1.2816,0.00164,0.57371,0.49592,0.51245,0.32373,1.5079,1.27467,0.00239,0.000374707,0.000374707,0.000374707
26,8495.94,1.5974,1.25769,0.00163,0.56904,0.50254,0.51011,0.31728,1.5229,1.27715,0.00242,0.00036057,0.00036057,0.00036057
27,8822.58,1.59564,1.2539,0.00161,0.58513,0.49769,0.51702,0.32423,1.51643,1.26164,0.0024,0.000346433,0.000346433,0.000346433
28,9148.43,1.59384,1.24159,0.00161,0.58169,0.50217,0.51841,0.32404,1.50436,1.25967,0.00238,0.000332296,0.000332296,0.000332296
29,9472.8,1.58445,1.2353,0.0016,0.58222,0.50074,0.5172,0.32459,1.51501,1.26952,0.00239,0.000318158,0.000318158,0.000318158
30,9797.65,1.57908,1.22784,0.00159,0.59331,0.50037,0.52227,0.32728,1.51035,1.25518,0.00239,0.000304021,0.000304021,0.000304021
31,10126.2,1.57678,1.22259,0.0016,0.59663,0.49767,0.52245,0.32855,1.50573,1.25931,0.00238,0.000289884,0.000289884,0.000289884
32,10454.4,1.57404,1.21232,0.00157,0.61461,0.49524,0.52515,0.33092,1.50535,1.25177,0.00237,0.000275747,0.000275747,0.000275747
33,10785.8,1.58268,1.20632,0.00157,0.59311,0.50273,0.52346,0.32961,1.50812,1.25499,0.00237,0.00026161,0.00026161,0.00026161
34,11109.7,1.55874,1.1858,0.00158,0.59386,0.50013,0.52215,0.3285,1.5097,1.24818,0.00237,0.000247472,0.000247472,0.000247472
35,11438.4,1.55858,1.18611,0.00155,0.58839,0.51049,0.52712,0.33139,1.50686,1.24738,0.00238,0.000233335,0.000233335,0.000233335
36,11765.5,1.55919,1.18127,0.00156,0.58352,0.5146,0.52582,0.332,1.50863,1.2452,0.00236,0.000219198,0.000219198,0.000219198
37,12095.8,1.56056,1.17171,0.00155,0.59891,0.50386,0.5268,0.33171,1.50503,1.24274,0.00237,0.000205061,0.000205061,0.000205061
38,12421.3,1.54634,1.16349,0.00155,0.61097,0.50119,0.52907,0.33443,1.50952,1.24872,0.00237,0.000190924,0.000190924,0.000190924
39,12747.2,1.54848,1.15871,0.00153,0.60009,0.50426,0.52786,0.33283,1.50696,1.24717,0.00237,0.000176786,0.000176786,0.000176786
40,13072.8,1.54337,1.14696,0.00152,0.60068,0.50339,0.5256,0.3322,1.50189,1.24428,0.00236,0.000162649,0.000162649,0.000162649
41,13356.5,1.49606,1.09706,0.00164,0.5998,0.50407,0.52769,0.33283,1.51133,1.24853,0.00238,0.000148512,0.000148512,0.000148512
42,13639.2,1.48331,1.07283,0.00163,0.59342,0.50032,0.52384,0.33153,1.50712,1.24557,0.00237,0.000134375,0.000134375,0.000134375
43,13919.9,1.48255,1.0711,0.00161,0.59142,0.50797,0.526,0.33154,1.51261,1.24473,0.00238,0.000120238,0.000120238,0.000120238
44,14202.2,1.47596,1.05872,0.00162,0.59146,0.50617,0.52759,0.33317,1.5072,1.24506,0.00237,0.0001061,0.0001061,0.0001061
45,14483.2,1.47302,1.05104,0.0016,0.58649,0.51226,0.5258,0.33153,1.50946,1.24108,0.00237,9.19632e-05,9.19632e-05,9.19632e-05
46,14764.4,1.4629,1.04258,0.00159,0.59351,0.50292,0.52528,0.33248,1.5105,1.24418,0.00237,7.7826e-05,7.7826e-05,7.7826e-05
47,15045.2,1.46061,1.03703,0.0016,0.59766,0.50301,0.52499,0.33197,1.50774,1.24643,0.00237,6.36888e-05,6.36888e-05,6.36888e-05
48,15326.4,1.46043,1.03677,0.00157,0.58904,0.50832,0.52533,0.33244,1.5068,1.24742,0.00237,4.95516e-05,4.95516e-05,4.95516e-05
49,15608.3,1.45557,1.03054,0.00158,0.59539,0.50486,0.52576,0.33172,1.51048,1.24741,0.00237,3.54144e-05,3.54144e-05,3.54144e-05
50,15890.6,1.4597,1.03056,0.00157,0.59269,0.50518,0.52509,0.3326,1.50564,1.24995,0.00236,2.12772e-05,2.12772e-05,2.12772e-05
