epoch,size_bin,recall_at_05,median_iou,fp_above_tp_median,median_tp_conf,gt_count,tp_count,fp_count
0,0-8,0.3233,0.6206,0.2094,0.0995,6382,2063,18422
0,8-16,0.5305,0.6714,0.1062,0.1376,10958,5813,41412
0,16-32,0.6422,0.7583,0.0638,0.2366,13434,8627,45086
0,32-64,0.8004,0.8471,0.0268,0.4187,6098,4881,25127
0,64-128,0.8485,0.8757,0.0175,0.4707,1743,1479,8846
0,128-9999,0.7153,0.8082,0.0059,0.2422,144,103,2541
1,0-8,0.4395,0.6374,0.1354,0.1339,6382,2805,22438
1,8-16,0.6216,0.698,0.0837,0.1871,10958,6811,50914
1,16-32,0.7078,0.7739,0.0481,0.2959,13434,9509,38260
1,32-64,0.8395,0.8568,0.0155,0.4785,6098,5119,17149
1,64-128,0.8939,0.8583,0.0146,0.4092,1743,1558,6586
1,128-9999,0.9028,0.8358,0.0178,0.3058,144,130,2247
2,0-8,0.4646,0.6292,0.1068,0.1168,6382,2965,20116
2,8-16,0.6605,0.6964,0.0681,0.1699,10958,7238,50051
2,16-32,0.7595,0.7849,0.0394,0.3259,13434,10203,40432
2,32-64,0.8732,0.8746,0.0115,0.6279,6098,5325,18020
2,64-128,0.8916,0.8937,0.0146,0.6514,1743,1554,4790
2,128-9999,0.8681,0.8811,0.0122,0.4187,144,125,1148
3,0-8,0.5284,0.6424,0.1068,0.1635,6382,3372,25480
3,8-16,0.6854,0.7058,0.0548,0.231,10958,7511,52592
3,16-32,0.7587,0.7916,0.0312,0.3831,13434,10192,35309
3,32-64,0.8844,0.8798,0.012,0.6372,6098,5393,14388
3,64-128,0.9271,0.8978,0.0144,0.7461,1743,1616,5617
3,128-9999,0.9097,0.8814,0.0066,0.6577,144,131,1370
4,0-8,0.4976,0.6466,0.107,0.126,6382,3176,22226
4,8-16,0.6944,0.711,0.0619,0.2018,10958,7609,50085
4,16-32,0.7948,0.7801,0.0322,0.4302,13434,10677,38895
4,32-64,0.9051,0.8683,0.008,0.6929,6098,5519,16631
4,64-128,0.9352,0.8904,0.011,0.7705,1743,1630,3989
4,128-9999,0.9167,0.8801,0.0031,0.5371,144,132,642
5,0-8,0.5334,0.6401,0.0876,0.1406,6382,3404,20814
5,8-16,0.7157,0.7119,0.0502,0.2186,10958,7843,51194
5,16-32,0.8045,0.7998,0.0231,0.4092,13434,10807,40402
5,32-64,0.8977,0.883,0.0127,0.669,6098,5474,12894
5,64-128,0.9357,0.9079,0.0122,0.648,1743,1631,4511
5,128-9999,0.9306,0.895,0.0089,0.5273,144,134,1118
6,0-8,0.574,0.6503,0.0841,0.1623,6382,3663,31274
6,8-16,0.714,0.7104,0.0442,0.2281,10958,7824,45084
6,16-32,0.8087,0.8008,0.0254,0.4416,13434,10864,34968
6,32-64,0.9147,0.8829,0.0088,0.7607,6098,5578,14748
6,64-128,0.9375,0.9208,0.0099,0.855,1743,1634,4050
6,128-9999,0.9375,0.9161,0.0016,0.6851,144,135,618
7,0-8,0.5439,0.6505,0.0877,0.1582,6382,3471,26951
7,8-16,0.7323,0.7229,0.0456,0.2466,10958,8024,52006
7,16-32,0.8132,0.8008,0.0214,0.4416,13434,10925,35215
7,32-64,0.9026,0.8859,0.0108,0.7202,6098,5504,11061
7,64-128,0.934,0.9221,0.0105,0.8442,1743,1628,3527
7,128-9999,0.9444,0.913,0.0084,0.7048,144,136,953
8,0-8,0.5788,0.6536,0.0776,0.1614,6382,3694,24780
8,8-16,0.7399,0.7279,0.0404,0.2539,10958,8108,51465
8,16-32,0.8216,0.8056,0.0212,0.4609,13434,11037,36254
8,32-64,0.911,0.8926,0.0101,0.7007,6098,5555,13011
8,64-128,0.9449,0.9203,0.0081,0.7944,1743,1647,3967
8,128-9999,0.9375,0.912,0.0077,0.6514,144,135,780
9,0-8,0.5791,0.6554,0.0834,0.15,6382,3696,25450
9,8-16,0.742,0.7278,0.042,0.2422,10958,8131,47554
9,16-32,0.8256,0.8091,0.0194,0.4766,13434,11091,34940
9,32-64,0.9196,0.8933,0.0075,0.7744,6098,5608,15264
9,64-128,0.9512,0.9268,0.0053,0.8091,1743,1658,4320
9,128-9999,0.9236,0.9102,0.0032,0.6655,144,133,931
10,0-8,0.5918,0.6482,0.0871,0.155,6382,3777,27381
10,8-16,0.7533,0.7202,0.0359,0.251,10958,8255,47649
10,16-32,0.837,0.811,0.0179,0.4844,13434,11244,36102
10,32-64,0.9216,0.8964,0.0085,0.7637,6098,5620,12660
10,64-128,0.9489,0.9268,0.0073,0.832,1743,1654,3855
10,128-9999,0.9444,0.9311,0.0071,0.7207,144,136,1126
11,0-8,0.5987,0.6563,0.0738,0.1859,6382,3821,28640
11,8-16,0.7538,0.7234,0.0373,0.2766,10958,8260,46855
11,16-32,0.8308,0.8088,0.0179,0.5371,13434,11161,35433
11,32-64,0.9221,0.8947,0.0079,0.7676,6098,5623,13852
11,64-128,0.9478,0.9296,0.0078,0.8491,1743,1652,3316
11,128-9999,0.9514,0.9242,0.0031,0.6992,144,137,963
12,0-8,0.5992,0.6529,0.077,0.1623,6382,3824,23436
12,8-16,0.7581,0.7274,0.0297,0.2925,10958,8307,49872
12,16-32,0.8397,0.8094,0.0167,0.5273,13434,11281,36710
12,32-64,0.9218,0.8939,0.0088,0.7578,6098,5621,13118
12,64-128,0.9489,0.9292,0.0077,0.8457,1743,1654,3228
12,128-9999,0.9375,0.9212,0.0084,0.7402,144,135,713
13,0-8,0.5979,0.663,0.0691,0.154,6382,3816,25036
13,8-16,0.7569,0.7301,0.0318,0.2612,10958,8294,48839
13,16-32,0.8394,0.8125,0.0173,0.5234,13434,11277,37301
13,32-64,0.9223,0.8955,0.0081,0.7913,6098,5624,13149
13,64-128,0.9552,0.9327,0.0076,0.8608,1743,1665,3800
13,128-9999,0.9375,0.9255,0.0056,0.7534,144,135,715
14,0-8,0.597,0.6653,0.0716,0.152,6382,3810,30719
14,8-16,0.7567,0.7288,0.0308,0.2737,10958,8292,45915
14,16-32,0.8383,0.8138,0.0178,0.5273,13434,11262,33586
14,32-64,0.9277,0.8975,0.0089,0.7866,6098,5657,13209
14,64-128,0.9489,0.9363,0.0105,0.8359,1743,1654,2942
14,128-9999,0.9375,0.9244,0.0067,0.752,144,135,743
15,0-8,0.6069,0.6562,0.0696,0.1614,6382,3873,25995
15,8-16,0.7685,0.7291,0.0292,0.283,10958,8421,49314
15,16-32,0.8461,0.8136,0.0169,0.5215,13434,11367,35013
15,32-64,0.9282,0.8973,0.0084,0.7866,6098,5660,12196
15,64-128,0.9564,0.9301,0.0081,0.8345,1743,1667,3215
15,128-9999,0.9514,0.9268,0.006,0.7515,144,137,832
16,0-8,0.6202,0.6574,0.0673,0.175,6382,3958,29663
16,8-16,0.7668,0.7305,0.0281,0.314,10958,8403,47146
16,16-32,0.8435,0.8131,0.0154,0.5796,13434,11332,34171
16,32-64,0.9252,0.8973,0.0075,0.7852,6098,5642,12863
16,64-128,0.9443,0.933,0.0072,0.8418,1743,1646,2904
16,128-9999,0.9375,0.9252,0.0074,0.7476,144,135,542
17,0-8,0.6302,0.6576,0.0689,0.1744,6382,4022,29099
17,8-16,0.779,0.7353,0.0294,0.3108,10958,8536,48516
17,16-32,0.8477,0.8169,0.0156,0.5547,13434,11388,33711
17,32-64,0.9287,0.8994,0.0084,0.7944,6098,5663,11747
17,64-128,0.9541,0.9366,0.0074,0.874,1743,1663,3127
17,128-9999,0.9653,0.9263,0.0015,0.7866,144,139,659
18,0-8,0.6216,0.654,0.0678,0.1656,6382,3967,27655
18,8-16,0.7755,0.7292,0.0289,0.2991,10958,8498,46781
18,16-32,0.8537,0.815,0.0151,0.5796,13434,11468,34122
18,32-64,0.929,0.8998,0.0063,0.8154,6098,5665,12821
18,64-128,0.9547,0.9346,0.0077,0.8843,1743,1664,3359
18,128-9999,0.9653,0.9237,0.0018,0.8584,144,139,1091
19,0-8,0.6235,0.6573,0.0726,0.1623,6382,3979,28331
19,8-16,0.7718,0.7312,0.0285,0.2974,10958,8457,46405
19,16-32,0.8511,0.8151,0.0158,0.6001,13434,11434,34105
19,32-64,0.9333,0.8988,0.0077,0.8208,6098,5691,12530
